,Unnamed: 0,temperature (K),x(1),x(2),ln_gamma_1,ln_gamma_2,cas_number_1,cas_number_2,names_1,names_2,SMILES_x,NAME_x,boilingPoint[K]_x,cas_number_x,SMILES_y,NAME_y,boilingPoint[K]_y,cas_number_y
10,10,298.15,1.0,0.0,0.0,2.9285552,71-43-2,67-56-1,benzene,methanol,c1ccccc1,benzene,353.15,71-43-2,CO,methanol,337.85,67-56-1
11,11,298.15,0.0,1.0,-0.08966545,0.0,75-29-6,97-63-2,2-chloropropane,ethylmethacrylate,CC(C)Cl,isopropyl chloride,308.89,75-29-6,C=C(C)C(=O)OC,ethyl methacrylate,390.15,97-63-2
12,12,298.15,0.1,0.9,-0.07699855,-0.00061616,75-29-6,97-63-2,2-chloropropane,ethylmethacrylate,CC(C)Cl,isopropyl chloride,308.89,75-29-6,C=C(C)C(=O)OC,ethyl methacrylate,390.15,97-63-2
13,13,298.15,0.2,0.8,-0.06462876,-0.00274865,75-29-6,97-63-2,2-chloropropane,ethylmethacrylate,CC(C)Cl,isopropyl chloride,308.89,75-29-6,C=C(C)C(=O)OC,ethyl methacrylate,390.15,97-63-2
14,14,298.15,0.3,0.7,-0.05267839,-0.00668389,75-29-6,97-63-2,2-chloropropane,ethylmethacrylate,CC(C)Cl,isopropyl chloride,308.89,75-29-6,C=C(C)C(=O)OC,ethyl methacrylate,390.15,97-63-2
15,15,298.15,0.4,0.6,-0.04129558,-0.01276801,75-29-6,97-63-2,2-chloropropane,ethylmethacrylate,CC(C)Cl,isopropyl chloride,308.89,75-29-6,C=C(C)C(=O)OC,ethyl methacrylate,390.15,97-63-2
16,16,298.15,0.5,0.5,-0.03067637,-0.02141825,75-29-6,97-63-2,2-chloropropane,ethylmethacrylate,CC(C)Cl,isopropyl chloride,308.89,75-29-6,C=C(C)C(=O)OC,ethyl methacrylate,390.15,97-63-2
17,17,298.15,0.6,0.4,-0.02106082,-0.03315068,75-29-6,97-63-2,2-chloropropane,ethylmethacrylate,CC(C)Cl,isopropyl chloride,308.89,75-29-6,C=C(C)C(=O)OC,ethyl methacrylate,390.15,97-63-2
18,18,298.15,0.7,0.3,-0.01274782,-0.04859762,75-29-6,97-63-2,2-chloropropane,ethylmethacrylate,CC(C)Cl,isopropyl chloride,308.89,75-29-6,C=C(C)C(=O)OC,ethyl methacrylate,390.15,97-63-2
19,19,298.15,0.8,0.2,-0.00610919,-0.06854173,75-29-6,97-63-2,2-chloropropane,ethylmethacrylate,CC(C)Cl,isopropyl chloride,308.89,75-29-6,C=C(C)C(=O)OC,ethyl methacrylate,390.15,97-63-2
20,20,298.15,0.9,0.1,-0.00164701,-0.09394922,75-29-6,97-63-2,2-chloropropane,ethylmethacrylate,CC(C)Cl,isopropyl chloride,308.89,75-29-6,C=C(C)C(=O)OC,ethyl methacrylate,390.15,97-63-2
21,21,298.15,1.0,0.0,0.0,-0.12605699,75-29-6,97-63-2,2-chloropropane,ethylmethacrylate,CC(C)Cl,isopropyl chloride,308.89,75-29-6,C=C(C)C(=O)OC,ethyl methacrylate,390.15,97-63-2
22,22,298.15,0.0,1.0,-0.45256673,0.0,67-66-3,142-96-1,chcl3,di-n-butylether,ClC(Cl)Cl,chloroform,334.15,67-66-3,CCCCOCCCC,dibutyl ether,414.15,142-96-1
23,23,298.15,0.1,0.9,-0.41242487,-0.00303881,67-66-3,142-96-1,chcl3,di-n-butylether,ClC(Cl)Cl,chloroform,334.15,67-66-3,CCCCOCCCC,dibutyl ether,414.15,142-96-1
24,24,298.15,0.2,0.8,-0.36433918,-0.01181314,67-66-3,142-96-1,chcl3,di-n-butylether,ClC(Cl)Cl,chloroform,334.15,67-66-3,CCCCOCCCC,dibutyl ether,414.15,142-96-1
25,25,298.15,0.3,0.7,-0.33244645,-0.02245414,67-66-3,142-96-1,chcl3,di-n-butylether,ClC(Cl)Cl,chloroform,334.15,67-66-3,CCCCOCCCC,dibutyl ether,414.15,142-96-1
26,26,298.15,0.4,0.6,-0.30376254,-0.03763857,67-66-3,142-96-1,chcl3,di-n-butylether,ClC(Cl)Cl,chloroform,334.15,67-66-3,CCCCOCCCC,dibutyl ether,414.15,142-96-1
27,27,298.15,0.5,0.5,-0.26011892,-0.07307084,67-66-3,142-96-1,chcl3,di-n-butylether,ClC(Cl)Cl,chloroform,334.15,67-66-3,CCCCOCCCC,dibutyl ether,414.15,142-96-1
28,28,298.15,0.6,0.4,-0.18944674,-0.16024552,67-66-3,142-96-1,chcl3,di-n-butylether,ClC(Cl)Cl,chloroform,334.15,67-66-3,CCCCOCCCC,dibutyl ether,414.15,142-96-1
29,29,298.15,0.7,0.3,-0.11091436,-0.30817298,67-66-3,142-96-1,chcl3,di-n-butylether,ClC(Cl)Cl,chloroform,334.15,67-66-3,CCCCOCCCC,dibutyl ether,414.15,142-96-1
30,30,298.15,0.8,0.2,-0.04853852,-0.49833156,67-66-3,142-96-1,chcl3,di-n-butylether,ClC(Cl)Cl,chloroform,334.15,67-66-3,CCCCOCCCC,dibutyl ether,414.15,142-96-1
31,31,298.15,0.9,0.1,-0.01155263,-0.71110789,67-66-3,142-96-1,chcl3,di-n-butylether,ClC(Cl)Cl,chloroform,334.15,67-66-3,CCCCOCCCC,dibutyl ether,414.15,142-96-1
32,32,298.15,1.0,0.0,0.0,-0.92864006,67-66-3,142-96-1,chcl3,di-n-butylether,ClC(Cl)Cl,chloroform,334.15,67-66-3,CCCCOCCCC,dibutyl ether,414.15,142-96-1
33,33,298.15,0.0,1.0,-0.00339421,0.0,71-43-2,108-88-3,benzene,toluene,c1ccccc1,benzene,353.15,71-43-2,Cc1ccccc1,toluene,383.75,108-88-3
34,34,298.15,0.1,0.9,-0.00272441,-3.282e-05,71-43-2,108-88-3,benzene,toluene,c1ccccc1,benzene,353.15,71-43-2,Cc1ccccc1,toluene,383.75,108-88-3
35,35,298.15,0.2,0.8,-0.00212826,-0.00013521,71-43-2,108-88-3,benzene,toluene,c1ccccc1,benzene,353.15,71-43-2,Cc1ccccc1,toluene,383.75,108-88-3
36,36,298.15,0.3,0.7,-0.00160698,-0.00030561,71-43-2,108-88-3,benzene,toluene,c1ccccc1,benzene,353.15,71-43-2,Cc1ccccc1,toluene,383.75,108-88-3
37,37,298.15,0.4,0.6,-0.00116122,-0.00054154,71-43-2,108-88-3,benzene,toluene,c1ccccc1,benzene,353.15,71-43-2,Cc1ccccc1,toluene,383.75,108-88-3
38,38,298.15,0.5,0.5,-0.00079093,-0.0008394,71-43-2,108-88-3,benzene,toluene,c1ccccc1,benzene,353.15,71-43-2,Cc1ccccc1,toluene,383.75,108-88-3
39,39,298.15,0.6,0.4,-0.00049523,-0.00119424,71-43-2,108-88-3,benzene,toluene,c1ccccc1,benzene,353.15,71-43-2,Cc1ccccc1,toluene,383.75,108-88-3
40,40,298.15,0.7,0.3,-0.00027219,-0.00159953,71-43-2,108-88-3,benzene,toluene,c1ccccc1,benzene,353.15,71-43-2,Cc1ccccc1,toluene,383.75,108-88-3
41,41,298.15,0.8,0.2,-0.00011867,-0.0020469,71-43-2,108-88-3,benzene,toluene,c1ccccc1,benzene,353.15,71-43-2,Cc1ccccc1,toluene,383.75,108-88-3
42,42,298.15,0.9,0.1,-3.005e-05,-0.00252605,71-43-2,108-88-3,benzene,toluene,c1ccccc1,benzene,353.15,71-43-2,Cc1ccccc1,toluene,383.75,108-88-3
43,43,298.15,1.0,0.0,0.0,-0.00302397,71-43-2,108-88-3,benzene,toluene,c1ccccc1,benzene,353.15,71-43-2,Cc1ccccc1,toluene,383.75,108-88-3
44,44,298.15,0.0,1.0,-1.18076651,0.0,67-66-3,502-42-1,chcl3,cycloheptanone,ClC(Cl)Cl,chloroform,334.15,67-66-3,O=C1CCCCCC1,cycloheptanone,452.15,502-42-1
45,45,298.15,0.1,0.9,-1.06860713,-0.00671299,67-66-3,502-42-1,chcl3,cycloheptanone,ClC(Cl)Cl,chloroform,334.15,67-66-3,O=C1CCCCCC1,cycloheptanone,452.15,502-42-1
46,46,298.15,0.2,0.8,-0.93949183,-0.03036267,67-66-3,502-42-1,chcl3,cycloheptanone,ClC(Cl)Cl,chloroform,334.15,67-66-3,O=C1CCCCCC1,cycloheptanone,452.15,502-42-1
47,47,298.15,0.3,0.7,-0.7986074,-0.07842099,67-66-3,502-42-1,chcl3,cycloheptanone,ClC(Cl)Cl,chloroform,334.15,67-66-3,O=C1CCCCCC1,cycloheptanone,452.15,502-42-1
48,48,298.15,0.4,0.6,-0.64423949,-0.1630311,67-66-3,502-42-1,chcl3,cycloheptanone,ClC(Cl)Cl,chloroform,334.15,67-66-3,O=C1CCCCCC1,cycloheptanone,452.15,502-42-1
49,49,298.15,0.5,0.5,-0.47747802,-0.30140366,67-66-3,502-42-1,chcl3,cycloheptanone,ClC(Cl)Cl,chloroform,334.15,67-66-3,O=C1CCCCCC1,cycloheptanone,452.15,502-42-1
50,50,298.15,0.6,0.4,-0.31991173,-0.49531649,67-66-3,502-42-1,chcl3,cycloheptanone,ClC(Cl)Cl,chloroform,334.15,67-66-3,O=C1CCCCCC1,cycloheptanone,452.15,502-42-1
51,51,298.15,0.7,0.3,-0.21371182,-0.69169694,67-66-3,502-42-1,chcl3,cycloheptanone,ClC(Cl)Cl,chloroform,334.15,67-66-3,O=C1CCCCCC1,cycloheptanone,452.15,502-42-1
52,52,298.15,0.8,0.2,-0.12183748,-0.97460073,67-66-3,502-42-1,chcl3,cycloheptanone,ClC(Cl)Cl,chloroform,334.15,67-66-3,O=C1CCCCCC1,cycloheptanone,452.15,502-42-1
53,53,298.15,0.9,0.1,-0.03393652,-1.48135879,67-66-3,502-42-1,chcl3,cycloheptanone,ClC(Cl)Cl,chloroform,334.15,67-66-3,O=C1CCCCCC1,cycloheptanone,452.15,502-42-1
54,54,298.15,1.0,0.0,0.0,-2.12403585,67-66-3,502-42-1,chcl3,cycloheptanone,ClC(Cl)Cl,chloroform,334.15,67-66-3,O=C1CCCCCC1,cycloheptanone,452.15,502-42-1
55,55,298.15,0.0,1.0,0.0055588,0.0,75-05-8,67-71-0,acetonitrile,dimethylsulfone,CC#N,acetonitrile,355.15,75-05-8,CS(C)(=O)=O,dimethyl sulfone,511.15,67-71-0
56,56,298.15,0.1,0.9,0.00406871,5.853e-05,75-05-8,67-71-0,acetonitrile,dimethylsulfone,CC#N,acetonitrile,355.15,75-05-8,CS(C)(=O)=O,dimethyl sulfone,511.15,67-71-0
57,57,298.15,0.2,0.8,0.00254293,0.00031195,75-05-8,67-71-0,acetonitrile,dimethylsulfone,CC#N,acetonitrile,355.15,75-05-8,CS(C)(=O)=O,dimethyl sulfone,511.15,67-71-0
58,58,298.15,0.3,0.7,0.00110134,0.00077643,75-05-8,67-71-0,acetonitrile,dimethylsulfone,CC#N,acetonitrile,355.15,75-05-8,CS(C)(=O)=O,dimethyl sulfone,511.15,67-71-0
59,59,298.15,0.4,0.6,-9.522e-05,0.00140619,75-05-8,67-71-0,acetonitrile,dimethylsulfone,CC#N,acetonitrile,355.15,75-05-8,CS(C)(=O)=O,dimethyl sulfone,511.15,67-71-0
60,60,298.15,0.5,0.5,-0.00095609,0.00210354,75-05-8,67-71-0,acetonitrile,dimethylsulfone,CC#N,acetonitrile,355.15,75-05-8,CS(C)(=O)=O,dimethyl sulfone,511.15,67-71-0
61,61,298.15,0.6,0.4,-0.00139215,0.00260849,75-05-8,67-71-0,acetonitrile,dimethylsulfone,CC#N,acetonitrile,355.15,75-05-8,CS(C)(=O)=O,dimethyl sulfone,511.15,67-71-0
62,62,298.15,0.7,0.3,-0.00135451,0.00248327,75-05-8,67-71-0,acetonitrile,dimethylsulfone,CC#N,acetonitrile,355.15,75-05-8,CS(C)(=O)=O,dimethyl sulfone,511.15,67-71-0
63,63,298.15,0.8,0.2,-0.00091375,0.00109381,75-05-8,67-71-0,acetonitrile,dimethylsulfone,CC#N,acetonitrile,355.15,75-05-8,CS(C)(=O)=O,dimethyl sulfone,511.15,67-71-0
64,64,298.15,0.9,0.1,-0.00032216,-0.00234209,75-05-8,67-71-0,acetonitrile,dimethylsulfone,CC#N,acetonitrile,355.15,75-05-8,CS(C)(=O)=O,dimethyl sulfone,511.15,67-71-0
65,65,298.15,1.0,0.0,0.0,-0.00838224,75-05-8,67-71-0,acetonitrile,dimethylsulfone,CC#N,acetonitrile,355.15,75-05-8,CS(C)(=O)=O,dimethyl sulfone,511.15,67-71-0
66,66,298.15,0.0,1.0,0.06569034,0.0,110-82-7,142-96-1,cyclohexane,di-n-butylether,C1CCCCC1,cyclohexane,353.9,110-82-7,CCCCOCCCC,dibutyl ether,414.15,142-96-1
67,67,298.15,0.1,0.9,0.05905871,0.0003439,110-82-7,142-96-1,cyclohexane,di-n-butylether,C1CCCCC1,cyclohexane,353.9,110-82-7,CCCCOCCCC,dibutyl ether,414.15,142-96-1
68,68,298.15,0.2,0.8,0.05213199,0.00156131,110-82-7,142-96-1,cyclohexane,di-n-butylether,C1CCCCC1,cyclohexane,353.9,110-82-7,CCCCOCCCC,dibutyl ether,414.15,142-96-1
69,69,298.15,0.3,0.7,0.04492538,0.00395907,110-82-7,142-96-1,cyclohexane,di-n-butylether,C1CCCCC1,cyclohexane,353.9,110-82-7,CCCCOCCCC,dibutyl ether,414.15,142-96-1
70,70,298.15,0.4,0.6,0.03747281,0.00796995,110-82-7,142-96-1,cyclohexane,di-n-butylether,C1CCCCC1,cyclohexane,353.9,110-82-7,CCCCOCCCC,dibutyl ether,414.15,142-96-1
71,71,298.15,0.5,0.5,0.02984162,0.01421917,110-82-7,142-96-1,cyclohexane,di-n-butylether,C1CCCCC1,cyclohexane,353.9,110-82-7,CCCCOCCCC,dibutyl ether,414.15,142-96-1
72,72,298.15,0.6,0.4,0.02215943,0.0236317,110-82-7,142-96-1,cyclohexane,di-n-butylether,C1CCCCC1,cyclohexane,353.9,110-82-7,CCCCOCCCC,dibutyl ether,414.15,142-96-1
73,73,298.15,0.7,0.3,0.01466379,0.03761694,110-82-7,142-96-1,cyclohexane,di-n-butylether,C1CCCCC1,cyclohexane,353.9,110-82-7,CCCCOCCCC,dibutyl ether,414.15,142-96-1
74,74,298.15,0.8,0.2,0.0077945,0.05839654,110-82-7,142-96-1,cyclohexane,di-n-butylether,C1CCCCC1,cyclohexane,353.9,110-82-7,CCCCOCCCC,dibutyl ether,414.15,142-96-1
75,75,298.15,0.9,0.1,0.00237701,0.08960796,110-82-7,142-96-1,cyclohexane,di-n-butylether,C1CCCCC1,cyclohexane,353.9,110-82-7,CCCCOCCCC,dibutyl ether,414.15,142-96-1
76,76,298.15,1.0,0.0,0.0,0.13749185,110-82-7,142-96-1,cyclohexane,di-n-butylether,C1CCCCC1,cyclohexane,353.9,110-82-7,CCCCOCCCC,dibutyl ether,414.15,142-96-1
77,77,298.15,0.0,1.0,0.85899723,0.0,110-82-7,502-42-1,cyclohexane,cycloheptanone,C1CCCCC1,cyclohexane,353.9,110-82-7,O=C1CCCCCC1,cycloheptanone,452.15,502-42-1
78,78,298.15,0.1,0.9,0.73384503,0.00638366,110-82-7,502-42-1,cyclohexane,cycloheptanone,C1CCCCC1,cyclohexane,353.9,110-82-7,O=C1CCCCCC1,cycloheptanone,452.15,502-42-1
79,79,298.15,0.2,0.8,0.61521625,0.02711674,110-82-7,502-42-1,cyclohexane,cycloheptanone,C1CCCCC1,cyclohexane,353.9,110-82-7,O=C1CCCCCC1,cycloheptanone,452.15,502-42-1
80,80,298.15,0.3,0.7,0.50471132,0.06378362,110-82-7,502-42-1,cyclohexane,cycloheptanone,C1CCCCC1,cyclohexane,353.9,110-82-7,O=C1CCCCCC1,cycloheptanone,452.15,502-42-1
81,81,298.15,0.4,0.6,0.40272048,0.11859956,110-82-7,502-42-1,cyclohexane,cycloheptanone,C1CCCCC1,cyclohexane,353.9,110-82-7,O=C1CCCCCC1,cycloheptanone,452.15,502-42-1
82,82,298.15,0.5,0.5,0.30884374,0.19543933,110-82-7,502-42-1,cyclohexane,cycloheptanone,C1CCCCC1,cyclohexane,353.9,110-82-7,O=C1CCCCCC1,cycloheptanone,452.15,502-42-1
83,83,298.15,0.6,0.4,0.22265266,0.30101573,110-82-7,502-42-1,cyclohexane,cycloheptanone,C1CCCCC1,cyclohexane,353.9,110-82-7,O=C1CCCCCC1,cycloheptanone,452.15,502-42-1
84,84,298.15,0.7,0.3,0.14452005,0.44680312,110-82-7,502-42-1,cyclohexane,cycloheptanone,C1CCCCC1,cyclohexane,353.9,110-82-7,O=C1CCCCCC1,cycloheptanone,452.15,502-42-1
85,85,298.15,0.8,0.2,0.07651182,0.65272724,110-82-7,502-42-1,cyclohexane,cycloheptanone,C1CCCCC1,cyclohexane,353.9,110-82-7,O=C1CCCCCC1,cycloheptanone,452.15,502-42-1
86,86,298.15,0.9,0.1,0.02391959,0.95658993,110-82-7,502-42-1,cyclohexane,cycloheptanone,C1CCCCC1,cyclohexane,353.9,110-82-7,O=C1CCCCCC1,cycloheptanone,452.15,502-42-1
87,87,298.15,1.0,0.0,0.0,1.45038715,110-82-7,502-42-1,cyclohexane,cycloheptanone,C1CCCCC1,cyclohexane,353.9,110-82-7,O=C1CCCCCC1,cycloheptanone,452.15,502-42-1
88,88,298.15,0.0,1.0,2.51666971,0.0,7732-18-5,75-05-8,h2o,acetonitrile,O,water,373.15,7732-18-5,CC#N,acetonitrile,355.15,75-05-8
89,89,298.15,0.1,0.9,1.83529386,0.03358725,7732-18-5,75-05-8,h2o,acetonitrile,O,water,373.15,7732-18-5,CC#N,acetonitrile,355.15,75-05-8
90,90,298.15,0.2,0.8,1.38158573,0.11261635,7732-18-5,75-05-8,h2o,acetonitrile,O,water,373.15,7732-18-5,CC#N,acetonitrile,355.15,75-05-8
91,91,298.15,0.3,0.7,1.0362625,0.22721091,7732-18-5,75-05-8,h2o,acetonitrile,O,water,373.15,7732-18-5,CC#N,acetonitrile,355.15,75-05-8
92,92,298.15,0.4,0.6,0.75820879,0.37667244,7732-18-5,75-05-8,h2o,acetonitrile,O,water,373.15,7732-18-5,CC#N,acetonitrile,355.15,75-05-8
93,93,298.15,0.5,0.5,0.53011293,0.56320612,7732-18-5,75-05-8,h2o,acetonitrile,O,water,373.15,7732-18-5,CC#N,acetonitrile,355.15,75-05-8
94,94,298.15,0.6,0.4,0.3441757,0.79052225,7732-18-5,75-05-8,h2o,acetonitrile,O,water,373.15,7732-18-5,CC#N,acetonitrile,355.15,75-05-8
95,95,298.15,0.7,0.3,0.1973264,1.06347753,7732-18-5,75-05-8,h2o,acetonitrile,O,water,373.15,7732-18-5,CC#N,acetonitrile,355.15,75-05-8
96,96,298.15,0.8,0.2,0.08940692,1.38771749,7732-18-5,75-05-8,h2o,acetonitrile,O,water,373.15,7732-18-5,CC#N,acetonitrile,355.15,75-05-8
97,97,298.15,0.9,0.1,0.0225168,1.76745286,7732-18-5,75-05-8,h2o,acetonitrile,O,water,373.15,7732-18-5,CC#N,acetonitrile,355.15,75-05-8
98,98,298.15,1.0,0.0,0.0,2.19180189,7732-18-5,75-05-8,h2o,acetonitrile,O,water,373.15,7732-18-5,CC#N,acetonitrile,355.15,75-05-8
99,99,298.15,0.0,1.0,-0.10649606,0.0,71-43-2,142-96-1,benzene,di-n-butylether,c1ccccc1,benzene,353.15,71-43-2,CCCCOCCCC,dibutyl ether,414.15,142-96-1
100,100,298.15,0.1,0.9,-0.09183223,-0.00071843,71-43-2,142-96-1,benzene,di-n-butylether,c1ccccc1,benzene,353.15,71-43-2,CCCCOCCCC,dibutyl ether,414.15,142-96-1
101,101,298.15,0.2,0.8,-0.07738858,-0.00322165,71-43-2,142-96-1,benzene,di-n-butylether,c1ccccc1,benzene,353.15,71-43-2,CCCCOCCCC,dibutyl ether,414.15,142-96-1
102,102,298.15,0.3,0.7,-0.06327447,-0.00789153,71-43-2,142-96-1,benzene,di-n-butylether,c1ccccc1,benzene,353.15,71-43-2,CCCCOCCCC,dibutyl ether,414.15,142-96-1
103,103,298.15,0.4,0.6,-0.04965446,-0.01520503,71-43-2,142-96-1,benzene,di-n-butylether,c1ccccc1,benzene,353.15,71-43-2,CCCCOCCCC,dibutyl ether,414.15,142-96-1
104,104,298.15,0.5,0.5,-0.03677224,-0.02574303,71-43-2,142-96-1,benzene,di-n-butylether,c1ccccc1,benzene,353.15,71-43-2,CCCCOCCCC,dibutyl ether,414.15,142-96-1
105,105,298.15,0.6,0.4,-0.02497962,-0.04017834,71-43-2,142-96-1,benzene,di-n-butylether,c1ccccc1,benzene,353.15,71-43-2,CCCCOCCCC,dibutyl ether,414.15,142-96-1
106,106,298.15,0.7,0.3,-0.01476324,-0.05919899,71-43-2,142-96-1,benzene,di-n-butylether,c1ccccc1,benzene,353.15,71-43-2,CCCCOCCCC,dibutyl ether,414.15,142-96-1
107,107,298.15,0.8,0.2,-0.00675902,-0.083275,71-43-2,142-96-1,benzene,di-n-butylether,c1ccccc1,benzene,353.15,71-43-2,CCCCOCCCC,dibutyl ether,414.15,142-96-1
108,108,298.15,0.9,0.1,-0.0016784,-0.1120244,71-43-2,142-96-1,benzene,di-n-butylether,c1ccccc1,benzene,353.15,71-43-2,CCCCOCCCC,dibutyl ether,414.15,142-96-1
109,109,298.15,1.0,0.0,0.0,-0.142545,71-43-2,142-96-1,benzene,di-n-butylether,c1ccccc1,benzene,353.15,71-43-2,CCCCOCCCC,dibutyl ether,414.15,142-96-1
110,110,298.15,0.0,1.0,1.06083697,0.0,67-56-1,97-63-2,methanol,ethylmethacrylate,CO,methanol,337.85,67-56-1,C=C(C)C(=O)OC,ethyl methacrylate,390.15,97-63-2
111,111,298.15,0.1,0.9,0.83036728,0.01023575,67-56-1,97-63-2,methanol,ethylmethacrylate,CO,methanol,337.85,67-56-1,C=C(C)C(=O)OC,ethyl methacrylate,390.15,97-63-2
112,112,298.15,0.2,0.8,0.67758725,0.03706745,67-56-1,97-63-2,methanol,ethylmethacrylate,CO,methanol,337.85,67-56-1,C=C(C)C(=O)OC,ethyl methacrylate,390.15,97-63-2
113,113,298.15,0.3,0.7,0.54507747,0.08122528,67-56-1,97-63-2,methanol,ethylmethacrylate,CO,methanol,337.85,67-56-1,C=C(C)C(=O)OC,ethyl methacrylate,390.15,97-63-2
114,114,298.15,0.4,0.6,0.42668796,0.14503966,67-56-1,97-63-2,methanol,ethylmethacrylate,CO,methanol,337.85,67-56-1,C=C(C)C(=O)OC,ethyl methacrylate,390.15,97-63-2
115,115,298.15,0.5,0.5,0.31999677,0.23250525,67-56-1,97-63-2,methanol,ethylmethacrylate,CO,methanol,337.85,67-56-1,C=C(C)C(=O)OC,ethyl methacrylate,390.15,97-63-2
116,116,298.15,0.6,0.4,0.22426972,0.34985584,67-56-1,97-63-2,methanol,ethylmethacrylate,CO,methanol,337.85,67-56-1,C=C(C)C(=O)OC,ethyl methacrylate,390.15,97-63-2
117,117,298.15,0.7,0.3,0.14021008,0.50665494,67-56-1,97-63-2,methanol,ethylmethacrylate,CO,methanol,337.85,67-56-1,C=C(C)C(=O)OC,ethyl methacrylate,390.15,97-63-2
118,118,298.15,0.8,0.2,0.07035533,0.71764003,67-56-1,97-63-2,methanol,ethylmethacrylate,CO,methanol,337.85,67-56-1,C=C(C)C(=O)OC,ethyl methacrylate,390.15,97-63-2
119,119,298.15,0.9,0.1,0.02017407,1.00546773,67-56-1,97-63-2,methanol,ethylmethacrylate,CO,methanol,337.85,67-56-1,C=C(C)C(=O)OC,ethyl methacrylate,390.15,97-63-2
120,120,298.15,1.0,0.0,0.0,1.40339922,67-56-1,97-63-2,methanol,ethylmethacrylate,CO,methanol,337.85,67-56-1,C=C(C)C(=O)OC,ethyl methacrylate,390.15,97-63-2
121,121,298.15,0.0,1.0,-0.01465773,0.0,75-05-8,67-64-1,acetonitrile,propanone,CC#N,acetonitrile,355.15,75-05-8,CC(C)=O,acetone,329.15,67-64-1
122,122,298.15,0.1,0.9,-0.01899286,0.00029387,75-05-8,67-64-1,acetonitrile,propanone,CC#N,acetonitrile,355.15,75-05-8,CC(C)=O,acetone,329.15,67-64-1
123,123,298.15,0.2,0.8,-0.02300984,0.0010742,75-05-8,67-64-1,acetonitrile,propanone,CC#N,acetonitrile,355.15,75-05-8,CC(C)=O,acetone,329.15,67-64-1
124,124,298.15,0.3,0.7,-0.02569335,0.0020469,75-05-8,67-64-1,acetonitrile,propanone,CC#N,acetonitrile,355.15,75-05-8,CC(C)=O,acetone,329.15,67-64-1
125,125,298.15,0.4,0.6,-0.02630653,0.00245997,75-05-8,67-64-1,acetonitrile,propanone,CC#N,acetonitrile,355.15,75-05-8,CC(C)=O,acetone,329.15,67-64-1
126,126,298.15,0.5,0.5,-0.02454661,0.00108517,75-05-8,67-64-1,acetonitrile,propanone,CC#N,acetonitrile,355.15,75-05-8,CC(C)=O,acetone,329.15,67-64-1
127,127,298.15,0.6,0.4,-0.02029537,-0.00408911,75-05-8,67-64-1,acetonitrile,propanone,CC#N,acetonitrile,355.15,75-05-8,CC(C)=O,acetone,329.15,67-64-1
128,128,298.15,0.7,0.3,-0.01431748,-0.01525508,75-05-8,67-64-1,acetonitrile,propanone,CC#N,acetonitrile,355.15,75-05-8,CC(C)=O,acetone,329.15,67-64-1
129,129,298.15,0.8,0.2,-0.00777851,-0.03500774,75-05-8,67-64-1,acetonitrile,propanone,CC#N,acetonitrile,355.15,75-05-8,CC(C)=O,acetone,329.15,67-64-1
130,130,298.15,0.9,0.1,-0.00233742,-0.06608547,75-05-8,67-64-1,acetonitrile,propanone,CC#N,acetonitrile,355.15,75-05-8,CC(C)=O,acetone,329.15,67-64-1
131,131,298.15,1.0,0.0,0.0,-0.11120332,75-05-8,67-64-1,acetonitrile,propanone,CC#N,acetonitrile,355.15,75-05-8,CC(C)=O,acetone,329.15,67-64-1
