InChIKey,smiles_canon,LogS,occurence,solvent_id,solute_id,hybrid_class
NXBNYUSXDBHELA-UHFFFAOYSA-N,COc1ccc(C=CC(=O)c2ccccc2O)cc1,-5.699,1.0,solvent_844,solute_27,"polar,small"
PEQHIRFAKIASBK-UHFFFAOYSA-N,c1ccc(C(c2ccccc2)(c2ccccc2)c2ccccc2)cc1,-7.8,1.0,solvent_844,solute_28,"non-polar,large"
QANMHLXAZMSUEX-UHFFFAOYSA-N,c1coc(CNc2ncnc3[nH]cnc23)c1,-3.946,1.0,solvent_844,solute_29,"polar,small"
QSNYNWOQOIJCFV-UHFFFAOYSA-N,CNC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1,-5.312,1.0,solvent_844,solute_30,"polar,large"
QTSBFJRVBUIZJC-UHFFFAOYSA-N,COCC1COc2cc3ncnc(Nc4cccc(I)c4)c3cc2O1,-3.523,1.0,solvent_844,solute_31,"polar,large"
QVHJQCGUWFKTSE-YFKPBYRVSA-N,CC(NC(=O)OC(C)(C)C)C(=O)O,-0.74473,1.0,solvent_844,solute_32,"polar,small"
RFMMMVDNIPUKGG-UHFFFAOYSA-N,CC(=O)NC(CCC(=O)O)C(=O)O,-0.711,1.0,solvent_844,solute_33,"polar,small"
RXKNNAKAVAHBNK-UHFFFAOYSA-N,O=[N+]([O-])c1cc[n+]([O-])cc1,-0.68825,1.0,solvent_844,solute_34,"polar,small"
SGMHGVVTMOGJMX-UHFFFAOYSA-N,O=C(CS)Nc1ccc2ccccc2c1,-3.337,1.0,solvent_844,solute_35,"polar,small"
SNWQKAWITMVCQW-UHFFFAOYSA-N,CC(=O)NS(=O)(=O)c1ccc(NC(=O)c2ccccc2C(=O)O)cc1,-2.517,1.0,solvent_844,solute_36,"polar,large"
UAYYWDWWESZIPA-UHFFFAOYSA-N,CC1(N)CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1,-5.616,1.0,solvent_844,solute_37,"polar,large"
UDUNORRTIFRHKX-UHFFFAOYSA-N,COC(=O)C(NC(=O)COC(=O)CC1=CC(NC2=C(Cl)C=CC=CC2Cl)C=CC=C1)C(C)C,-1.59908,1.0,solvent_844,solute_38,"polar,large"
UFQCLRMJHOWNLX-UHFFFAOYSA-N,COCC1COc2cc3ncnc(Nc4cccc(Br)c4)c3cc2O1,-3.222,1.0,solvent_844,solute_39,"polar,large"
VHZXNQKVFDBFIK-NBBHSKLNSA-N,CC12CCC3C(CC=C4CCCCC43C)C1CC(F)C2=O,-6.79588,1.0,solvent_844,solute_40,"non-polar,small"
WXMYDHQMJVPNTD-UHFFFAOYSA-N,CC1(N)CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1,-4.376,1.0,solvent_844,solute_41,"polar,large"
WZWYJBNHTWCXIM-JLHYYAGUSA-N,CN1C(=C(O)Nc2ccccn2)C(=O)c2sccc2S1(=O)=O,-3.78351,1.0,solvent_844,solute_42,"polar,large"
XDLPWPNVUPKKSN-UHFFFAOYSA-N,CNC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1,-5.405,1.0,solvent_844,solute_43,"polar,large"
XSKQKDTZQNFCCB-UHFFFAOYSA-N,O=[N+]([O-])c1cc2c(cc1CO)OCO2,-3.064,1.0,solvent_844,solute_44,"polar,small"
YBPAYPRLUDCSEY-UHFFFAOYSA-N,NC(=O)Cc1ccc(O)cc1,-2.38601,1.0,solvent_844,solute_45,"polar,small"
YIKYNHJUKRTCJL-UHFFFAOYSA-N,CCc1occc(=O)c1O,-0.89378,1.0,solvent_844,solute_46,"polar,small"
YKGCCFHSXQHWIG-UHFFFAOYSA-N,O=c1ccc2nc3ccccc3sc-2c1,-3.716,1.0,solvent_844,solute_47,"polar,small"
YOJAHJGBFDPSDI-UHFFFAOYSA-N,COC(=O)c1ccc([N+](=O)[O-])cc1,-3.035,1.0,solvent_844,solute_48,"polar,small"
YRHRIQCWCFGUEQ-UHFFFAOYSA-N,O=c1c2ccccc2sc2ccccc12,-5.54,1.0,solvent_844,solute_49,"non-polar,small"
YZVWKHVRBDQPMQ-UHFFFAOYSA-N,Nc1ccc2ccc3cccc4ccc1c2c34,-0.61272,1.0,solvent_844,solute_50,"polar,small"
ZAFYATHCZYHLPB-UHFFFAOYSA-N,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,-1.297,1.0,solvent_844,solute_51,"polar,large"
ZCINFQNVNLHJOV-UHFFFAOYSA-N,CCOC1=C([N+](=O)[O-])CN(C(C)C)C1=O,-4.331,1.0,solvent_844,solute_52,"polar,small"
ZYJPUMXJBDHSIF-NSHDSACASA-N,CC(C)(C)OC(=O)NC(Cc1ccccc1)C(=O)O,-2.1549,1.0,solvent_844,solute_53,"polar,small"
OKIRBHVFJGXOIS-UHFFFAOYSA-N,CC(C)c1ccccc1C(C)C,-6.352932503,1.0,solvent_844,solute_54,"non-polar,small"
QEPTXDCPBXMWJC-UHFFFAOYSA-N,Clc1cc2ccccc2c(Cl)c1Cl,-6.551656398,1.0,solvent_844,solute_55,"non-polar,small"
MUPPEBVXFKNMCI-QMMMGPOBSA-N,CCCCC(C)CCO,-2.208375999,1.0,solvent_844,solute_56,"polar,small"
PMPBFICDXLLSRM-UHFFFAOYSA-N,CC(C)c1cccc2ccccc12,-5.49074994,1.0,solvent_844,solute_57,"non-polar,small"
WOFPPJOZXUTRAU-QMMMGPOBSA-N,CCCCC(O)CCC,-2.03192567,1.0,solvent_844,solute_58,"polar,small"
GYVGXEWAOAAJEU-UHFFFAOYSA-N,Cc1ccc(N(C)C)cc1,-2.318095456,1.0,solvent_844,solute_59,"non-polar,small"
UNBMPKNTYKDYCG-UHFFFAOYSA-N,CC(C)CC(C)N,-4.107510505,1.0,solvent_844,solute_60,"polar,small"
ALTFLAPROMVXNX-UHFFFAOYSA-N,CC1COC(C)(C)O1,-0.019733625,1.0,solvent_844,solute_61,"non-polar,small"
AWDLBZUXUNIODN-UHFFFAOYSA-N,C=C(C)C(C)(C)O,-0.306089117,1.0,solvent_844,solute_62,"polar,small"
SIJBDWPVNAYVGY-UHFFFAOYSA-N,CC1(C)OCCO1,0.513290902,1.0,solvent_844,solute_63,"non-polar,small"
SVWMDNXXRJCGOY-UHFFFAOYSA-N,CCC1CCC2(CCC(CC)O2)O1,-1.845522455,1.0,solvent_844,solute_64,"non-polar,small"
DCFDVJPDXYGCOK-UHFFFAOYSA-N,O=CC1CC=CCC1,-1.343053923,1.0,solvent_844,solute_65,"non-polar,small"
ZRVPDCMGGOSDKG-UHFFFAOYSA-N,C=C(C)C1CCC(C)(O)C1C,-2.017963457,1.0,solvent_844,solute_66,"polar,small"
ZBLCWYDHYTWUSK-UHFFFAOYSA-N,Cc1cc2cccc(O)c2nc1C,-1.31899701,1.0,solvent_844,solute_67,"polar,small"
RUJPNZNXGCHGID-UHFFFAOYSA-N,C=C(C)C1CCC(C)(O)CC1,-1.845802492,1.0,solvent_844,solute_68,"polar,small"
GTEXIOINCJRBIO-UHFFFAOYSA-N,CN(C)CCOCCN(C)C,0.795174862,1.0,solvent_844,solute_69,"non-polar,small"
DSTPUJAJSXTJHM-UHFFFAOYSA-N,Cc1ccc(O)c(C(C)C)c1,-1.95661967,1.0,solvent_844,solute_70,"polar,small"
UAXOELSVPTZZQG-UHFFFAOYSA-N,CC(C)=C(C)C(=O)O,-0.367279836,1.0,solvent_844,solute_71,"polar,small"
GQCZPFJGIXHZMB-UHFFFAOYSA-N,CC(O)COC(C)(C)C,0.116814648,1.0,solvent_844,solute_72,"polar,small"
RLYSXAZAJUMULG-UHFFFAOYSA-N,CC(C)C1=CC(=O)C(C)CC1,-1.844072282,1.0,solvent_844,solute_73,"non-polar,small"
AZAFGYLHYXBSMI-UPHRSURJSA-N,O=C(O)C(Br)=CBr,-0.669489986,1.0,solvent_844,solute_74,"polar,small"
GZXSDYYWLZERLF-UHFFFAOYSA-N,CCNC(=O)OCC,0.554506997,1.0,solvent_844,solute_75,"polar,small"
DUVJMSPTZMCSTQ-UHFFFAOYSA-N,CCOc1ccccc1C=O,-2.112154111,1.0,solvent_844,solute_76,"polar,small"
IYVPXMGWHZBPIR-UHFFFAOYSA-N,CCCOC(=O)CCOCC,-4.0171689,1.0,solvent_844,solute_77,"polar,small"
HTKFORQRBXIQHD-UHFFFAOYSA-N,C=CCN=C(N)S,-0.29427936,1.0,solvent_844,solute_78,"polar,small"
MDENRACGWNSYCU-JIOCBJNQSA-N,CC1(C)C2CCC1(C)C(O)C2N,-1.228579994,1.0,solvent_844,solute_79,"polar,small"
KWRBXILMRLLABD-UHFFFAOYSA-N,C=CCOc1ccccc1OC,0.784600399,1.0,solvent_844,solute_80,"non-polar,small"
MDHYEMXUFSJLGV-UHFFFAOYSA-N,CC(=O)OCCc1ccccc1,-2.231756387,1.0,solvent_844,solute_81,"polar,small"
MFKRHJVUCZRDTF-UHFFFAOYSA-N,COC(C)(C)CCO,-0.072543986,1.0,solvent_844,solute_82,"polar,small"
BAWUFGWWCWMUNU-UHFFFAOYSA-N,CCCCCCN1CCCC1=O,-1.101475196,1.0,solvent_844,solute_83,"polar,small"
CSRFYVKSQFVNST-UHFFFAOYSA-N,CCCOC(=O)C(C)(C)O,-0.164917666,1.0,solvent_844,solute_84,"polar,small"
WZZLDXDUQPOXNW-UHFFFAOYSA-N,CCCOC(=O)NCCCN(C)C,0.679461387,1.0,solvent_844,solute_85,"polar,small"
MUGORNQRYUKUGN-UHFFFAOYSA-N,CC(C)c1ccc(CCO)cc1,-2.261262869,1.0,solvent_844,solute_86,"polar,small"
TWEQNZZOOFKOER-UHFFFAOYSA-N,COC(=O)c1sccc1N,-1.895394918,1.0,solvent_844,solute_87,"polar,small"
HZMVPSHLMIQQNX-UHFFFAOYSA-N,CCCC(C)OC(N)=O,-1.225773024,1.0,solvent_844,solute_88,"polar,small"
KZBOXYKTSUUBTO-UHFFFAOYSA-N,Cc1cc([N+](=O)[O-])ccc1[N+](=O)[O-],-2.919961217,1.0,solvent_844,solute_89,"polar,small"
WHVOFFPTHILKQP-UHFFFAOYSA-N,C#CC#CC=C=CCCO,-1.890651109,1.0,solvent_844,solute_90,"polar,small"
SJTVAYOMOLUGTG-UHFFFAOYSA-N,CC(C)C1OC(=O)c2ccccc21,-2.256605379,1.0,solvent_844,solute_91,"polar,small"
OWWVHQUOYSPNNE-UHFFFAOYSA-N,CCOC1CCC(C(=O)OCCN(CC)CC)CC1,-2.714545858,1.0,solvent_844,solute_92,"polar,small"
HYQVJTPIWPMTLK-UHFFFAOYSA-N,CC1(O)CCC(C)(O)CC1,-0.614957447,1.0,solvent_844,solute_93,"polar,small"
YIMQCDZDWXUDCA-UHFFFAOYSA-N,OCC1CCC(CO)CC1,0.804762336,1.0,solvent_844,solute_94,"polar,small"
MXZJHUFPDPEROD-UHFFFAOYSA-N,CCC(CCC(C)C)C(N)=O,-2.351520231,1.0,solvent_844,solute_95,"polar,small"
FSPTUZZVVXTEON-UHFFFAOYSA-N,CC1(C)CC(C(=O)O)C(C)(C)N1,0.465364785,1.0,solvent_844,solute_96,"polar,small"
HWYMVIVIHYHBMA-UHFFFAOYSA-N,CCCOC(=O)C(C)OC(C)=O,-0.640075255,1.0,solvent_844,solute_97,"polar,small"
RTYZKRMNFGEBAR-UHFFFAOYSA-N,CCc1nc(N)c(C)c(CC)n1,-2.354792326,1.0,solvent_844,solute_98,"polar,small"
EHHECCRMUOFLV-UHFFFAOYSA-N,CCCCCOC(=O)C(C)(C)O,-1.241147862,1.0,solvent_844,solute_99,"polar,small"
GPNISLPZDBITJJ-UHFFFAOYSA-N,COCC=CC#N,-0.26632293,1.0,solvent_844,solute_100,"polar,small"
NBKWXLWDPCYIHD-UHFFFAOYSA-N,O=C(O)C1C=Cc2ccccc2C1,-2.477620157,1.0,solvent_844,solute_101,"polar,small"
SXRSQZLOMIGNAQ-UHFFFAOYSA-N,O=CCCCC=O,0.999479159,1.0,solvent_844,solute_102,"polar,small"
CUZKCNWZBXLAJX-UHFFFAOYSA-N,OCCOCc1ccccc1,-0.705264862,1.0,solvent_844,solute_103,"polar,small"
NEQDNPLLVJBQNJ-UHFFFAOYSA-N,CCCCCN1C(=O)CCC1=O,-1.104625713,1.0,solvent_844,solute_104,"polar,small"
IPZCJUOJSODZNK-UHFFFAOYSA-N,CNC(=O)C(=O)NC,0.54787683,1.0,solvent_844,solute_105,"polar,small"
WHFKYDMBUMLWDA-UHFFFAOYSA-N,CC(=O)OCCOc1ccccc1,-1.977025286,1.0,solvent_844,solute_106,"polar,small"
UTNKPINVMZDAHQ-UHFFFAOYSA-N,CC(C)OC(=O)C(C)(C)O,0.011173593,1.0,solvent_844,solute_107,"polar,small"
JINURNSPHNUGPC-UHFFFAOYSA-N,CCC(O)(CC)C(O)CC(C)C,-1.597819793,1.0,solvent_844,solute_108,"polar,small"
YIKQQGWDQHQECY-UHFFFAOYSA-N,CC1=C(C(=O)O)CCCC1,-2.283363196,1.0,solvent_844,solute_109,"polar,small"
BYBMSKRHDCEKRL-UHFFFAOYSA-N,CC1(CO)C2CCC1C(=O)C2,-0.28502255,1.0,solvent_844,solute_110,"polar,small"
ZMEVDFFLOPFGCR-UHFFFAOYSA-N,Cc1csc(=O)[nH]1,-0.659863402,1.0,solvent_844,solute_111,"polar,small"
HXIHISRWARGVBG-UHFFFAOYSA-N,CCOC(=O)c1ccc(=O)oc1,-0.997810167,1.0,solvent_844,solute_112,"polar,small"
GOJDSMIXPMMHPO-UHFFFAOYSA-N,CCC(=O)NC(=O)CC,-1.713188028,1.0,solvent_844,solute_113,"polar,small"
XCRPPAPDRUBKRJ-UHFFFAOYSA-N,Oc1ccc2cccnc2c1,-2.503835563,1.0,solvent_844,solute_114,"polar,small"
FOTKYAAJKYLFFN-UHFFFAOYSA-N,OCCCCCCCCCCO,-2.095144434,1.0,solvent_844,solute_115,"polar,small"
QNLTWNKEBOCLPE-UHFFFAOYSA-N,N#CCC(=O)Nc1ccccc1Cl,-2.297961393,1.0,solvent_844,solute_116,"polar,small"
LXVSANCQXSSLPA-UHFFFAOYSA-N,CCC(O)(CC)C(=O)O,-0.706126682,1.0,solvent_844,solute_117,"polar,small"
NZFKDDMHHUEVPI-UHFFFAOYSA-N,Oc1cccc2scnc12,0.764988331,1.0,solvent_844,solute_118,"polar,small"
OBCSAIDCZQSFQH-UHFFFAOYSA-N,Cc1cc(N)ccc1N,-0.086964574,1.0,solvent_844,solute_119,"polar,small"
ASAHZDPKCCONIV-UHFFFAOYSA-N,CC(C)CCC(C)C(=O)O,-1.982934232,1.0,solvent_844,solute_120,"polar,small"
AWZKNOIBAIKXRQ-UHFFFAOYSA-N,CC(C)CC(C)OCC(O)CO,-1.250080111,1.0,solvent_844,solute_121,"polar,small"
ANLQHFYDQPMDJY-UHFFFAOYSA-N,N#CCC(=O)N1CCCCC1,-0.915242924,1.0,solvent_844,solute_122,"polar,small"
AJPXTSMULZANCB-UHFFFAOYSA-N,Oc1ccc(O)c(Cl)c1,0.805153561,1.0,solvent_844,solute_123,"polar,small"
RRDPWAPIJGSANI-UHFFFAOYSA-N,O=C(O)C(O)C1CCCCC1,-1.354108439,1.0,solvent_844,solute_124,"polar,small"
KDPXOGYCOOUWOS-UHFFFAOYSA-N,CCCCCCOC(=O)C(C)O,-1.137344141,1.0,solvent_844,solute_125,"polar,small"
ATWLCPHWYPSRBQ-UHFFFAOYSA-N,CNC(=O)CC(C)=O,-0.805916,1.0,solvent_844,solute_126,"polar,small"
IWHOHYOMWRLKGY-UHFFFAOYSA-N,CC1CCCCC1(O)C(=O)O,-0.898176483,1.0,solvent_844,solute_127,"polar,small"
XVCBVZJUNHNVMW-UHFFFAOYSA-N,CCC(C(=O)O)C(C)(C)C(=O)O,-0.672846427,1.0,solvent_844,solute_128,"polar,small"
VPBZMCXPCDAAFX-UHFFFAOYSA-N,CCC(CC)(C(=O)NC)C(=O)NC,0.030910397,1.0,solvent_844,solute_129,"polar,small"
MLEXVRSHDCOQPM-UHFFFAOYSA-N,CCCCC(CC)(C(=O)O)C(=O)O,-0.797567588,1.0,solvent_844,solute_130,"polar,small"
FZLOTQMQISYYEK-UHFFFAOYSA-N,Cc1cc(O)c(C(=O)O)cc1O,-2.362374012,1.0,solvent_844,solute_131,"polar,small"
FAYFWMOSHFCQPG-UHFFFAOYSA-N,CC1=CCS(=O)(=O)C1,-3.226296091,1.0,solvent_844,solute_132,"polar,small"
WVCGTXBZDLZEDU-YFKPBYRVSA-N,CC(C)(C)C(NC=O)C(=O)O,-1.900885787,1.0,solvent_844,solute_133,"polar,small"
OJLBQZJKORZRDZ-UHFFFAOYSA-N,CC(C)C(O)C(C)(C)C(=O)O,-0.897193583,1.0,solvent_844,solute_134,"polar,small"
ZENOXNGFMSCLLL-UHFFFAOYSA-N,COc1cc(CO)ccc1O,-1.886969877,1.0,solvent_844,solute_135,"polar,small"
KFTYNYHJHKCRKU-UHFFFAOYSA-N,CC(=O)Nc1cccc([N+](=O)[O-])c1,0.706710962,1.0,solvent_844,solute_136,"polar,small"
GFYRDQXZVIHUKQ-UHFFFAOYSA-N,OCC(CO)N(Cc1ccccc1)Cc1ccccc1,-1.12179197,1.0,solvent_844,solute_137,"polar,small"
HQEMUQNZGCZHHN-UHFFFAOYSA-N,NC(S)=Nc1cccc([N+](=O)[O-])c1,-1.449830893,1.0,solvent_844,solute_138,"polar,small"
JZBMVRBRZUZZCT-UHFFFAOYSA-N,CCCCC1NC(=O)NC1=O,-1.494683221,1.0,solvent_844,solute_139,"polar,small"
FGSBMPLRSMYGCV-UHFFFAOYSA-N,CCCCC(=O)CC(=O)C(=O)O,-0.957229103,1.0,solvent_844,solute_140,"polar,small"
AFZTYHRVDOKRKV-UHFFFAOYSA-N,CC(=O)Nc1cccc(C(C)=O)c1,-1.623151267,1.0,solvent_844,solute_141,"polar,small"
CTZCDPNOAJATOH-UHFFFAOYSA-N,O=C(O)C1=C(C(=O)O)CC=CC1,-1.00038759,1.0,solvent_844,solute_142,"polar,small"
UNNNRTAKJYMLEC-UHFFFAOYSA-N,NC(=O)C1OC(=O)c2ccccc21,-2.134422319,1.0,solvent_844,solute_143,"polar,small"
LHGGZFWXQZSSEK-UHFFFAOYSA-N,CN1Cc2ccccc2S1(=O)=O,-1.411738233,1.0,solvent_844,solute_144,"polar,small"
MWBXCWLRASBZFB-UHFFFAOYSA-N,Cc1ccc(CC(=O)O)c(C)c1,-2.389324798,1.0,solvent_844,solute_145,"polar,small"
BOSPLJJRCJCRHX-UHFFFAOYSA-N,COC(=O)C(C#N)C(=O)CC(C)C,-2.72513008,1.0,solvent_844,solute_146,"polar,small"
WECHHDJTILFYQT-UHFFFAOYSA-N,CC(=O)Nc1ccc(C(C)=O)cc1,-1.623151267,1.0,solvent_844,solute_147,"polar,small"
HUGAWXCWXHSPBW-UHFFFAOYSA-N,NC(CC1CCC(O)CC1)C(=O)O,-0.35332054,1.0,solvent_844,solute_148,"polar,small"
GWYVTXHULIXIAY-UHFFFAOYSA-N,CCC1NC(=O)C(CC)NC1=O,-1.712471132,1.0,solvent_844,solute_149,"polar,small"
ACFHHZJOAUZSJU-XBXARRHUSA-N,CC(=O)NN=CC1CCC([N+](=O)[O-])O1,-2.595822371,1.0,solvent_844,solute_150,"polar,small"
NPEIHQNAMLQBND-UHFFFAOYSA-N,CN1C(=O)NCc2c1ncn2C,-1.339765162,1.0,solvent_844,solute_151,"polar,small"
HYYOPSIKJXWRID-UHFFFAOYSA-N,NNC(=O)c1ccc([N+](=O)[O-])s1,-1.971206245,1.0,solvent_844,solute_152,"polar,small"
BLSVCHHBHKGCSQ-UHFFFAOYSA-N,Cc1ccccc1NC(N)=O,-1.818677253,1.0,solvent_844,solute_153,"polar,small"
GSPZXGHHFDORDC-UHFFFAOYSA-N,CCC(N=C(N)N)C(=O)O,-0.860816964,1.0,solvent_844,solute_154,"polar,small"
ZCGVPUAAMCMLTM-UHFFFAOYSA-N,Nc1ccc(Cl)cc1S(=O)(=O)O,-1.821745766,1.0,solvent_844,solute_155,"polar,small"
KVDFAXPMFJXDJJ-UHFFFAOYSA-N,CCC1CN(CCC#N)C1C(=O)O,-0.981842441,1.0,solvent_844,solute_156,"polar,small"
RXNXODTWPQTIHO-ZETCQYMHSA-N,CC(C)C(NCCC#N)C(=O)O,-1.123775102,1.0,solvent_844,solute_157,"polar,small"
NGTORYSYDRDVFM-UHFFFAOYSA-N,CC(NCCC#N)C(=O)O,-0.006649379,1.0,solvent_844,solute_158,"polar,small"
ALWDVDJEMWKXEY-UHFFFAOYSA-N,CNC(=O)CCC(N)=O,-0.813414177,1.0,solvent_844,solute_159,"polar,small"
WFDOLCYFWRFQEG-SCSAIBSYSA-N,CCC(C)NC(N)=S,-1.13902592,1.0,solvent_844,solute_160,"polar,small"
SCQOFMGAFNWKPH-UHFFFAOYSA-N,CC1=C(C#N)C(=O)NC(C)(C)C1,-1.753001603,1.0,solvent_844,solute_161,"polar,small"
JQKDIRYFZWAOTB-UHFFFAOYSA-N,CCC(N)C(=O)NC(CC)C(=O)O,-1.296965237,1.0,solvent_844,solute_162,"polar,small"
YKUFMYSNUQLIQS-UHFFFAOYSA-N,Cc1cnc(N)[nH]c1=O,-1.495301453,1.0,solvent_844,solute_163,"polar,small"
QDKOFCUUXIAICD-UHFFFAOYSA-N,O=C(O)C1=CCCCC1C(=O)O,-1.287883405,1.0,solvent_844,solute_164,"polar,small"
CDPPYCZVWYZBJH-UHFFFAOYSA-N,CC(C)(C(=O)O)C(C)(C)C(=O)O,-1.559806913,1.0,solvent_844,solute_165,"polar,small"
HFAYWAUCHUMJMH-UHFFFAOYSA-N,O=C1CC(=O)NC=N1,-1.65162686,1.0,solvent_844,solute_166,"polar,small"
FJHGMUDVUAXUEK-UHFFFAOYSA-N,Cc1ccc(S(=O)(=O)O)c(N)c1,-2.126201008,1.0,solvent_844,solute_167,"polar,small"
JFKWIFMXMYRTAZ-UHFFFAOYSA-N,C=CCC(CNC)(C(=O)O)C(=O)O,-0.749861611,1.0,solvent_844,solute_168,"polar,small"
KFEIZXFOLXOVFU-SCSAIBSYSA-N,CC(OC(=S)N(C)C)C(=O)O,-0.947492539,1.0,solvent_844,solute_169,"polar,small"
JQVMRGYDSQFFJC-UHFFFAOYSA-N,N#CCC(=O)NCc1ccccc1,-2.064964371,1.0,solvent_844,solute_170,"polar,small"
KEISVHMIDOVJRP-UHFFFAOYSA-N,Cc1c(N)cccc1S(=O)(=O)O,-1.739574664,1.0,solvent_844,solute_171,"polar,small"
CZTPMDLWMYKCCU-UHFFFAOYSA-N,C=CCC(C(=O)O)C(C)C(=O)O,-1.059891444,1.0,solvent_844,solute_172,"polar,small"
MPOVRXTVHXDFII-UHFFFAOYSA-N,CC(CCCC(C)C(=O)O)C(=O)O,-0.932266161,1.0,solvent_844,solute_173,"polar,small"
