InChIKey,smiles_canon,LogS,occurence
SGMHGVVTMOGJMX-UHFFFAOYSA-N,O=C(CS)Nc1ccc2ccccc2c1,-3.337,1.0
SNWQKAWITMVCQW-UHFFFAOYSA-N,CC(=O)NS(=O)(=O)c1ccc(NC(=O)c2ccccc2C(=O)O)cc1,-2.517,1.0
UAYYWDWWESZIPA-UHFFFAOYSA-N,CC1(N)CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1,-5.616,1.0
UDUNORRTIFRHKX-UHFFFAOYSA-N,COC(=O)C(NC(=O)COC(=O)CC1=CC(NC2=C(Cl)C=CC=CC2Cl)C=CC=C1)C(C)C,-1.59908,1.0
UFQCLRMJHOWNLX-UHFFFAOYSA-N,COCC1COc2cc3ncnc(Nc4cccc(Br)c4)c3cc2O1,-3.222,1.0
VHZXNQKVFDBFIK-NBBHSKLNSA-N,CC12CCC3C(CC=C4CCCCC43C)C1CC(F)C2=O,-6.79588,1.0
WXMYDHQMJVPNTD-UHFFFAOYSA-N,CC1(N)CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1,-4.376,1.0
WZWYJBNHTWCXIM-JLHYYAGUSA-N,CN1C(=C(O)Nc2ccccn2)C(=O)c2sccc2S1(=O)=O,-3.78351,1.0
XDLPWPNVUPKKSN-UHFFFAOYSA-N,CNC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1,-5.405,1.0
XSKQKDTZQNFCCB-UHFFFAOYSA-N,O=[N+]([O-])c1cc2c(cc1CO)OCO2,-3.064,1.0
YBPAYPRLUDCSEY-UHFFFAOYSA-N,NC(=O)Cc1ccc(O)cc1,-2.38601,1.0
YIKYNHJUKRTCJL-UHFFFAOYSA-N,CCc1occc(=O)c1O,-0.89378,1.0
YKGCCFHSXQHWIG-UHFFFAOYSA-N,O=c1ccc2nc3ccccc3sc-2c1,-3.716,1.0
YOJAHJGBFDPSDI-UHFFFAOYSA-N,COC(=O)c1ccc([N+](=O)[O-])cc1,-3.035,1.0
YRHRIQCWCFGUEQ-UHFFFAOYSA-N,O=c1c2ccccc2sc2ccccc12,-5.54,1.0
YZVWKHVRBDQPMQ-UHFFFAOYSA-N,Nc1ccc2ccc3cccc4ccc1c2c34,-0.61272,1.0
ZAFYATHCZYHLPB-UHFFFAOYSA-N,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,-1.297,1.0
ZCINFQNVNLHJOV-UHFFFAOYSA-N,CCOC1=C([N+](=O)[O-])CN(C(C)C)C1=O,-4.331,1.0
ZYJPUMXJBDHSIF-NSHDSACASA-N,CC(C)(C)OC(=O)NC(Cc1ccccc1)C(=O)O,-2.1549,1.0
OKIRBHVFJGXOIS-UHFFFAOYSA-N,CC(C)c1ccccc1C(C)C,-6.352932503,1.0
QEPTXDCPBXMWJC-UHFFFAOYSA-N,Clc1cc2ccccc2c(Cl)c1Cl,-6.551656398,1.0
MUPPEBVXFKNMCI-QMMMGPOBSA-N,CCCCC(C)CCO,-2.208375999,1.0
PMPBFICDXLLSRM-UHFFFAOYSA-N,CC(C)c1cccc2ccccc12,-5.49074994,1.0
WOFPPJOZXUTRAU-QMMMGPOBSA-N,CCCCC(O)CCC,-2.03192567,1.0
GYVGXEWAOAAJEU-UHFFFAOYSA-N,Cc1ccc(N(C)C)cc1,-2.318095456,1.0
UNBMPKNTYKDYCG-UHFFFAOYSA-N,CC(C)CC(C)N,-4.107510505,1.0
ALTFLAPROMVXNX-UHFFFAOYSA-N,CC1COC(C)(C)O1,-0.019733625,1.0
AWDLBZUXUNIODN-UHFFFAOYSA-N,C=C(C)C(C)(C)O,-0.306089117,1.0
SIJBDWPVNAYVGY-UHFFFAOYSA-N,CC1(C)OCCO1,0.513290902,1.0
SVWMDNXXRJCGOY-UHFFFAOYSA-N,CCC1CCC2(CCC(CC)O2)O1,-1.845522455,1.0
DCFDVJPDXYGCOK-UHFFFAOYSA-N,O=CC1CC=CCC1,-1.343053923,1.0
ZRVPDCMGGOSDKG-UHFFFAOYSA-N,C=C(C)C1CCC(C)(O)C1C,-2.017963457,1.0
ZBLCWYDHYTWUSK-UHFFFAOYSA-N,Cc1cc2cccc(O)c2nc1C,-1.31899701,1.0
RUJPNZNXGCHGID-UHFFFAOYSA-N,C=C(C)C1CCC(C)(O)CC1,-1.845802492,1.0
GTEXIOINCJRBIO-UHFFFAOYSA-N,CN(C)CCOCCN(C)C,0.795174862,1.0
DSTPUJAJSXTJHM-UHFFFAOYSA-N,Cc1ccc(O)c(C(C)C)c1,-1.95661967,1.0
UAXOELSVPTZZQG-UHFFFAOYSA-N,CC(C)=C(C)C(=O)O,-0.367279836,1.0
GQCZPFJGIXHZMB-UHFFFAOYSA-N,CC(O)COC(C)(C)C,0.116814648,1.0
RLYSXAZAJUMULG-UHFFFAOYSA-N,CC(C)C1=CC(=O)C(C)CC1,-1.844072282,1.0
AZAFGYLHYXBSMI-UPHRSURJSA-N,O=C(O)C(Br)=CBr,-0.669489986,1.0
GZXSDYYWLZERLF-UHFFFAOYSA-N,CCNC(=O)OCC,0.554506997,1.0
DUVJMSPTZMCSTQ-UHFFFAOYSA-N,CCOc1ccccc1C=O,-2.112154111,1.0
IYVPXMGWHZBPIR-UHFFFAOYSA-N,CCCOC(=O)CCOCC,-4.0171689,1.0
HTKFORQRBXIQHD-UHFFFAOYSA-N,C=CCN=C(N)S,-0.29427936,1.0
MDENRACGWNSYCU-JIOCBJNQSA-N,CC1(C)C2CCC1(C)C(O)C2N,-1.228579994,1.0
KWRBXILMRLLABD-UHFFFAOYSA-N,C=CCOc1ccccc1OC,0.784600399,1.0
MDHYEMXUFSJLGV-UHFFFAOYSA-N,CC(=O)OCCc1ccccc1,-2.231756387,1.0
MFKRHJVUCZRDTF-UHFFFAOYSA-N,COC(C)(C)CCO,-0.072543986,1.0
BAWUFGWWCWMUNU-UHFFFAOYSA-N,CCCCCCN1CCCC1=O,-1.101475196,1.0
CSRFYVKSQFVNST-UHFFFAOYSA-N,CCCOC(=O)C(C)(C)O,-0.164917666,1.0
WZZLDXDUQPOXNW-UHFFFAOYSA-N,CCCOC(=O)NCCCN(C)C,0.679461387,1.0
MUGORNQRYUKUGN-UHFFFAOYSA-N,CC(C)c1ccc(CCO)cc1,-2.261262869,1.0
TWEQNZZOOFKOER-UHFFFAOYSA-N,COC(=O)c1sccc1N,-1.895394918,1.0
HZMVPSHLMIQQNX-UHFFFAOYSA-N,CCCC(C)OC(N)=O,-1.225773024,1.0
KZBOXYKTSUUBTO-UHFFFAOYSA-N,Cc1cc([N+](=O)[O-])ccc1[N+](=O)[O-],-2.919961217,1.0
WHVOFFPTHILKQP-UHFFFAOYSA-N,C#CC#CC=C=CCCO,-1.890651109,1.0
SJTVAYOMOLUGTG-UHFFFAOYSA-N,CC(C)C1OC(=O)c2ccccc21,-2.256605379,1.0
OWWVHQUOYSPNNE-UHFFFAOYSA-N,CCOC1CCC(C(=O)OCCN(CC)CC)CC1,-2.714545858,1.0
HYQVJTPIWPMTLK-UHFFFAOYSA-N,CC1(O)CCC(C)(O)CC1,-0.614957447,1.0
YIMQCDZDWXUDCA-UHFFFAOYSA-N,OCC1CCC(CO)CC1,0.804762336,1.0
MXZJHUFPDPEROD-UHFFFAOYSA-N,CCC(CCC(C)C)C(N)=O,-2.351520231,1.0
FSPTUZZVVXTEON-UHFFFAOYSA-N,CC1(C)CC(C(=O)O)C(C)(C)N1,0.465364785,1.0
HWYMVIVIHYHBMA-UHFFFAOYSA-N,CCCOC(=O)C(C)OC(C)=O,-0.640075255,1.0
RTYZKRMNFGEBAR-UHFFFAOYSA-N,CCc1nc(N)c(C)c(CC)n1,-2.354792326,1.0
EHHECCRMUOFLV-UHFFFAOYSA-N,CCCCCOC(=O)C(C)(C)O,-1.241147862,1.0
GPNISLPZDBITJJ-UHFFFAOYSA-N,COCC=CC#N,-0.26632293,1.0
NBKWXLWDPCYIHD-UHFFFAOYSA-N,O=C(O)C1C=Cc2ccccc2C1,-2.477620157,1.0
SXRSQZLOMIGNAQ-UHFFFAOYSA-N,O=CCCCC=O,0.999479159,1.0
CUZKCNWZBXLAJX-UHFFFAOYSA-N,OCCOCc1ccccc1,-0.705264862,1.0
NEQDNPLLVJBQNJ-UHFFFAOYSA-N,CCCCCN1C(=O)CCC1=O,-1.104625713,1.0
IPZCJUOJSODZNK-UHFFFAOYSA-N,CNC(=O)C(=O)NC,0.54787683,1.0
WHFKYDMBUMLWDA-UHFFFAOYSA-N,CC(=O)OCCOc1ccccc1,-1.977025286,1.0
UTNKPINVMZDAHQ-UHFFFAOYSA-N,CC(C)OC(=O)C(C)(C)O,0.011173593,1.0
JINURNSPHNUGPC-UHFFFAOYSA-N,CCC(O)(CC)C(O)CC(C)C,-1.597819793,1.0
YIKQQGWDQHQECY-UHFFFAOYSA-N,CC1=C(C(=O)O)CCCC1,-2.283363196,1.0
BYBMSKRHDCEKRL-UHFFFAOYSA-N,CC1(CO)C2CCC1C(=O)C2,-0.28502255,1.0
ZMEVDFFLOPFGCR-UHFFFAOYSA-N,Cc1csc(=O)[nH]1,-0.659863402,1.0
HXIHISRWARGVBG-UHFFFAOYSA-N,CCOC(=O)c1ccc(=O)oc1,-0.997810167,1.0
GOJDSMIXPMMHPO-UHFFFAOYSA-N,CCC(=O)NC(=O)CC,-1.713188028,1.0
XCRPPAPDRUBKRJ-UHFFFAOYSA-N,Oc1ccc2cccnc2c1,-2.503835563,1.0
FOTKYAAJKYLFFN-UHFFFAOYSA-N,OCCCCCCCCCCO,-2.095144434,1.0
QNLTWNKEBOCLPE-UHFFFAOYSA-N,N#CCC(=O)Nc1ccccc1Cl,-2.297961393,1.0
LXVSANCQXSSLPA-UHFFFAOYSA-N,CCC(O)(CC)C(=O)O,-0.706126682,1.0
NZFKDDMHHUEVPI-UHFFFAOYSA-N,Oc1cccc2scnc12,0.764988331,1.0
OBCSAIDCZQSFQH-UHFFFAOYSA-N,Cc1cc(N)ccc1N,-0.086964574,1.0
ASAHZDPKCCONIV-UHFFFAOYSA-N,CC(C)CCC(C)C(=O)O,-1.982934232,1.0
AWZKNOIBAIKXRQ-UHFFFAOYSA-N,CC(C)CC(C)OCC(O)CO,-1.250080111,1.0
ANLQHFYDQPMDJY-UHFFFAOYSA-N,N#CCC(=O)N1CCCCC1,-0.915242924,1.0
AJPXTSMULZANCB-UHFFFAOYSA-N,Oc1ccc(O)c(Cl)c1,0.805153561,1.0
RRDPWAPIJGSANI-UHFFFAOYSA-N,O=C(O)C(O)C1CCCCC1,-1.354108439,1.0
KDPXOGYCOOUWOS-UHFFFAOYSA-N,CCCCCCOC(=O)C(C)O,-1.137344141,1.0
ATWLCPHWYPSRBQ-UHFFFAOYSA-N,CNC(=O)CC(C)=O,-0.805916,1.0
IWHOHYOMWRLKGY-UHFFFAOYSA-N,CC1CCCCC1(O)C(=O)O,-0.898176483,1.0
XVCBVZJUNHNVMW-UHFFFAOYSA-N,CCC(C(=O)O)C(C)(C)C(=O)O,-0.672846427,1.0
VPBZMCXPCDAAFX-UHFFFAOYSA-N,CCC(CC)(C(=O)NC)C(=O)NC,0.030910397,1.0
MLEXVRSHDCOQPM-UHFFFAOYSA-N,CCCCC(CC)(C(=O)O)C(=O)O,-0.797567588,1.0
FZLOTQMQISYYEK-UHFFFAOYSA-N,Cc1cc(O)c(C(=O)O)cc1O,-2.362374012,1.0
FAYFWMOSHFCQPG-UHFFFAOYSA-N,CC1=CCS(=O)(=O)C1,-3.226296091,1.0
WVCGTXBZDLZEDU-YFKPBYRVSA-N,CC(C)(C)C(NC=O)C(=O)O,-1.900885787,1.0
OJLBQZJKORZRDZ-UHFFFAOYSA-N,CC(C)C(O)C(C)(C)C(=O)O,-0.897193583,1.0
ZENOXNGFMSCLLL-UHFFFAOYSA-N,COc1cc(CO)ccc1O,-1.886969877,1.0
KFTYNYHJHKCRKU-UHFFFAOYSA-N,CC(=O)Nc1cccc([N+](=O)[O-])c1,0.706710962,1.0
GFYRDQXZVIHUKQ-UHFFFAOYSA-N,OCC(CO)N(Cc1ccccc1)Cc1ccccc1,-1.12179197,1.0
HQEMUQNZGCZHHN-UHFFFAOYSA-N,NC(S)=Nc1cccc([N+](=O)[O-])c1,-1.449830893,1.0
JZBMVRBRZUZZCT-UHFFFAOYSA-N,CCCCC1NC(=O)NC1=O,-1.494683221,1.0
FGSBMPLRSMYGCV-UHFFFAOYSA-N,CCCCC(=O)CC(=O)C(=O)O,-0.957229103,1.0
AFZTYHRVDOKRKV-UHFFFAOYSA-N,CC(=O)Nc1cccc(C(C)=O)c1,-1.623151267,1.0
CTZCDPNOAJATOH-UHFFFAOYSA-N,O=C(O)C1=C(C(=O)O)CC=CC1,-1.00038759,1.0
UNNNRTAKJYMLEC-UHFFFAOYSA-N,NC(=O)C1OC(=O)c2ccccc21,-2.134422319,1.0
LHGGZFWXQZSSEK-UHFFFAOYSA-N,CN1Cc2ccccc2S1(=O)=O,-1.411738233,1.0
MWBXCWLRASBZFB-UHFFFAOYSA-N,Cc1ccc(CC(=O)O)c(C)c1,-2.389324798,1.0
BOSPLJJRCJCRHX-UHFFFAOYSA-N,COC(=O)C(C#N)C(=O)CC(C)C,-2.72513008,1.0
WECHHDJTILFYQT-UHFFFAOYSA-N,CC(=O)Nc1ccc(C(C)=O)cc1,-1.623151267,1.0
HUGAWXCWXHSPBW-UHFFFAOYSA-N,NC(CC1CCC(O)CC1)C(=O)O,-0.35332054,1.0
GWYVTXHULIXIAY-UHFFFAOYSA-N,CCC1NC(=O)C(CC)NC1=O,-1.712471132,1.0
ACFHHZJOAUZSJU-XBXARRHUSA-N,CC(=O)NN=CC1CCC([N+](=O)[O-])O1,-2.595822371,1.0
NPEIHQNAMLQBND-UHFFFAOYSA-N,CN1C(=O)NCc2c1ncn2C,-1.339765162,1.0
HYYOPSIKJXWRID-UHFFFAOYSA-N,NNC(=O)c1ccc([N+](=O)[O-])s1,-1.971206245,1.0
BLSVCHHBHKGCSQ-UHFFFAOYSA-N,Cc1ccccc1NC(N)=O,-1.818677253,1.0
GSPZXGHHFDORDC-UHFFFAOYSA-N,CCC(N=C(N)N)C(=O)O,-0.860816964,1.0
ZCGVPUAAMCMLTM-UHFFFAOYSA-N,Nc1ccc(Cl)cc1S(=O)(=O)O,-1.821745766,1.0
KVDFAXPMFJXDJJ-UHFFFAOYSA-N,CCC1CN(CCC#N)C1C(=O)O,-0.981842441,1.0
RXNXODTWPQTIHO-ZETCQYMHSA-N,CC(C)C(NCCC#N)C(=O)O,-1.123775102,1.0
NGTORYSYDRDVFM-UHFFFAOYSA-N,CC(NCCC#N)C(=O)O,-0.006649379,1.0
ALWDVDJEMWKXEY-UHFFFAOYSA-N,CNC(=O)CCC(N)=O,-0.813414177,1.0
WFDOLCYFWRFQEG-SCSAIBSYSA-N,CCC(C)NC(N)=S,-1.13902592,1.0
SCQOFMGAFNWKPH-UHFFFAOYSA-N,CC1=C(C#N)C(=O)NC(C)(C)C1,-1.753001603,1.0
JQKDIRYFZWAOTB-UHFFFAOYSA-N,CCC(N)C(=O)NC(CC)C(=O)O,-1.296965237,1.0
YKUFMYSNUQLIQS-UHFFFAOYSA-N,Cc1cnc(N)[nH]c1=O,-1.495301453,1.0
QDKOFCUUXIAICD-UHFFFAOYSA-N,O=C(O)C1=CCCCC1C(=O)O,-1.287883405,1.0
CDPPYCZVWYZBJH-UHFFFAOYSA-N,CC(C)(C(=O)O)C(C)(C)C(=O)O,-1.559806913,1.0
HFAYWAUCHUMJMH-UHFFFAOYSA-N,O=C1CC(=O)NC=N1,-1.65162686,1.0
FJHGMUDVUAXUEK-UHFFFAOYSA-N,Cc1ccc(S(=O)(=O)O)c(N)c1,-2.126201008,1.0
JFKWIFMXMYRTAZ-UHFFFAOYSA-N,C=CCC(CNC)(C(=O)O)C(=O)O,-0.749861611,1.0
KFEIZXFOLXOVFU-SCSAIBSYSA-N,CC(OC(=S)N(C)C)C(=O)O,-0.947492539,1.0
JQVMRGYDSQFFJC-UHFFFAOYSA-N,N#CCC(=O)NCc1ccccc1,-2.064964371,1.0
KEISVHMIDOVJRP-UHFFFAOYSA-N,Cc1c(N)cccc1S(=O)(=O)O,-1.739574664,1.0
CZTPMDLWMYKCCU-UHFFFAOYSA-N,C=CCC(C(=O)O)C(C)C(=O)O,-1.059891444,1.0
MPOVRXTVHXDFII-UHFFFAOYSA-N,CC(CCCC(C)C(=O)O)C(=O)O,-0.932266161,1.0
KEJXACDCOMURLL-UHFFFAOYSA-N,Cn1cc(C(=O)O)n(C)c1=O,-0.970797704,1.0
SOGBOGBTIKMGFS-UHFFFAOYSA-N,NNC(=O)c1cccs1,-0.754898501,1.0
TVBUURYOYAXGMP-UHFFFAOYSA-N,CCC(C)=C(CC(=O)O)C(=O)O,-2.332892716,1.0
GZHCYRZFDQBRLU-FNORWQNLSA-N,CCOC(=O)CNC(C)=CC(C)=O,-0.586446642,1.0
QRAXZXPSAGQUNP-UHFFFAOYSA-N,CNc1ccc(S(=O)(=O)O)cc1,0.180989297,1.0
NSDYIDKTTPXCRH-UHFFFAOYSA-N,NC(N)=NCCCCCC(=O)O,-2.387339686,1.0
QNUWEXSGZVBMDV-UHFFFAOYSA-N,O=C(O)Cc1cccc(C(=O)O)c1,-1.778537118,1.0
DMEDOWYXHVUPMO-UHFFFAOYSA-N,O=C(O)Cc1ccc(C(=O)O)cc1,-1.255658373,1.0
DVNFLGLGNLXITH-REOHCLBHSA-N,CC(N=C(N)N)C(=O)O,-0.198637216,1.0
DATAGRPVKZEWHA-YFKPBYRVSA-N,CCNC(=O)CCC(N)C(=O)O,0.202996645,1.0
GPFAJKDEDBRFOS-FKQDBXSBSA-N,CN1CCC23C4C=CC(O)C2OC2C(OCCN5CCOCC5)CCC(CC41)C23,-1.299401589,1.0
BONRIQWDXHCVOH-UHFFFAOYSA-N,O=S(=O)(O)c1cnc[nH]1,0.130357655,1.0
NSPLFNGUPLZYHV-UHFFFAOYSA-N,O=c1cc[nH]c2cccnc12,-2.244153818,1.0
LKXREDOIMHQPQO-UHFFFAOYSA-N,Cc1ccnc(C(=O)O)c1C(=O)O,-1.328619413,1.0
ZMPRRFPMMJQXPP-UHFFFAOYSA-N,O=C(O)c1ccccc1S(=O)(=O)O,0.393231812,1.0
JGEPERFKPFDKAX-UHFFFAOYSA-N,CC(=O)c1cccc(NC(N)=O)c1,-1.874306371,1.0
RCCYSVYHULFYHE-UHFFFAOYSA-N,NC(=O)CCCC(N)=O,-0.263185824,1.0
QEZZCWMQXHXAFG-UHFFFAOYSA-N,Nc1cccc2ccc(S(=O)(=O)O)cc12,-1.682277378,1.0
BSSNZUFKXJJCBG-OWOJBTEDSA-N,NC(=O)C=CC(N)=O,-2.5132176,1.0
GVNWZKBFMFUVNX-UHFFFAOYSA-N,NC(=O)CCCCC(N)=O,-1.515422222,1.0
QZZQIRLQHUUWOH-UHFFFAOYSA-N,Cc1cc(N)nc(=O)[nH]1,-1.495301453,1.0
BQYOGZXCESFTRX-UHFFFAOYSA-N,O=C(O)C1=CC=C(C(=O)O)CC1,-3.501421002,1.0
FPRQARNPKWVCNI-UHFFFAOYSA-N,O=COCc1ccco1,-0.98347823,1.0
AWJRUIZRYJPUHU-UHFFFAOYSA-N,NS(=O)(=O)c1ccc(=O)[nH]c1,-1.843058278,1.0
GFWWREGOTNQVGC-UHFFFAOYSA-N,Cc1[nH]c(=O)[nH]c(=O)c1CC(=O)O,-2.310929214,1.0
VXPQZDZQAWMEHT-UHFFFAOYSA-N,Nc1ccc(S(N)(=O)=O)cn1,-1.217333513,1.0
ODFWTQNMGOYAIP-UHFFFAOYSA-N,CCC(S(=O)(=O)CC)S(=O)(=O)CC,-1.460916864,1.0
QJGHJWKPZQIOSN-UHFFFAOYSA-N,Nc1ccc(CS(=O)(=O)O)cc1,-2.28780173,1.0
UEWQTRNYJJIPSF-UHFFFAOYSA-N,Nc1nc(=O)n(-c2ccccc2)[nH]1,-2.467805355,1.0
NHZLNPMOSADWGC-UHFFFAOYSA-N,NC1CCC(S(=O)(=O)NC2CNC3CCCCC3N2)CC1,-4.602546129,1.0
JEHHECCRMUOFLV-UHFFFAOYSA-N,CC(C)C(C(=O)O)C(C)C(=O)O,-1.434868177,1.0
ZEZJPIDPVXJEME-UHFFFAOYSA-N,O=c1cc[nH]c(O)c1,-1.249834042,1.0
LJIRXNPXTVQOEU-MKKAVFGOSA-N,ON=C1CCCCCC1=NO,-1.425015124,1.0
SILINKWDNDDXTL-UHFFFAOYSA-N,Nc1ccc(O)c(S(=O)(=O)O)c1,-2.450823375,1.0
BQNWWHFSEXYHKU-UHFFFAOYSA-N,NC(=O)NCCCCCC(=O)O,-2.161866905,1.0
LRSASMSXMSNRBT-UHFFFAOYSA-N,Cc1cnc(=O)[nH]c1N,-0.559542349,1.0
CZJGCEGNCSGRBI-UHFFFAOYSA-N,CCc1cnc(=O)[nH]c1N,-1.019662779,1.0
JQNOJPRGXMMBQO-UHFFFAOYSA-N,CC(C)C(NCCC(=O)O)C(=O)O,-0.896732844,1.0
HFIIQXBYXBKNNZ-UHFFFAOYSA-N,Nc1[nH]c(=O)ncc1CC(=O)O,-1.700616425,1.0
FPDYKABXINADKS-LURJTMIESA-N,CCCCC([NH2+]C)C(=O)[O-],-0.153366445,1.0
NJBCRXCAPCODGX-UHFFFAOYSA-N,CC(C)CNCC(C)C,-1.769007871,1.0
GNVRJGIVDSQCOP-UHFFFAOYSA-N,CCN(C)CC,1.059632954,1.0
QCOGKXLOEWLIDC-UHFFFAOYSA-N,CCCCNC,1.059632954,1.0
DXSUORGKJZADET-YFKPBYRVSA-N,CC(N)C(C)(C)C,0.98608848,1.0
AKNUHUCEWALCOI-UHFFFAOYSA-N,CCN(CCO)CCO,0.875528381,1.0
DOSWHECVUKBMCG-UHFFFAOYSA-N,NCCCNC1CCCCC1,-1.654312434,1.0
SROYVYGZVXMVOA-UHFFFAOYSA-N,O=C1c2cc(S(=O)(=O)O)ccc2C(=O)c2c1cccc2S(=O)(=O)O,0.4338,1.0
URYYVOIYTNXXBN-UPHRSURJSA-N,C1=CCCCCCC1,-3.770336047,1.0
YGYAWVDWMABLBF-UHFFFAOYSA-N,O=C(Cl)Cl,-1.136676971,1.0
NPNUFJAVOOONJE-GFUGXAQUSA-N,C=C1CCC=C(C)CCC2C1CC2(C)C,-6.610549667,1.0
RINOYHWVBUKAQE-UHFFFAOYSA-N,Cc1ccccc1I,-3.958318956,1.0
UDHAWRUAECEBHC-UHFFFAOYSA-N,Cc1ccc(I)cc1,-3.958318956,1.0
MGNCLNQXLYJVJD-UHFFFAOYSA-N,Clc1nc(Cl)nc(Cl)n1,-0.568636585,1.0
UWKQJZCTQGMHKD-UHFFFAOYSA-N,CC(C)(C)c1cccc(C(C)(C)C)n1,-4.431718034,1.0
