,InChIKey,SMILES,LogS
22,AQIXAKUUQRKLND-UHFFFAOYSA-N,S(CCN/C(=N/C)/NC#N)Cc1c(C)[nH]cn1,-1.40229
23,AQIXEPGDORPWBJ-UHFFFAOYSA-N,OC(CC)CC,-0.24
24,ARCGXLSVLAOJQL-UHFFFAOYSA-N,O=C(O)c1c(C(=O)O)ccc(C(=O)O)c1,-0.397
25,ARGDYOIRHYLIMT-UHFFFAOYSA-N,ClN(Cl)S(=O)(=O)c1ccc(C)cc1,-3.509
26,ARSRBNBHOADGJU-UHFFFAOYSA-N,Cc1c2c(c(C)c3c1cccc3)ccc1c2cccc1,-7.020001
27,ATROHALUCMTWTB-UHFFFAOYSA-N,S=P(ON=C(C#N)c1ccccc1)(OCC)OCC,-4.86
28,AUKRYONWZHRJRE-UHFFFAOYSA-N,Oc1c2c(cc3c1cccc3)cccc2,-4.73
29,AUNGANRZJHBGPY-UHFFFAOYSA-N,O=c1nc2n(CC(O)C(O)C(O)CO)c3c(nc2c(=O)[nH]1)cc(C)c(C)c3,-3.68
30,AUZONCFQVSMFAP-UHFFFAOYSA-N,S(SC(=S)N(CC)CC)C(=S)N(CC)CC,-4.71725
31,AVQQQNCBBIEMEU-UHFFFAOYSA-N,O=C(N(C)C)N(C)C,0.94
32,AVZVLGDSSQKRGL-UHFFFAOYSA-N,O=C(COC(=O)c1ccccc1)N1CCOCC1,-1.773
33,AWMVMTVKBNGEAK-UHFFFAOYSA-N,c1(C2OC2)ccccc1,-1.6
34,AXGUBXVWZBFQGA-UHFFFAOYSA-N,Clc1ccc(C(O)(C(=O)OC(C)C)c2ccc(Cl)cc2)cc1,-4.53
35,AYFVYJQAPQTCCC-UHFFFAOYSA-N,O=C(O)C(N)C(O)C,-0.09
36,BACHBFVBHLGWSL-UHFFFAOYSA-N,Clc1c(Oc2ccc(OC(C(=O)OC)C)cc2)ccc(Cl)c1,-3.82
37,BAPJBEWLBFYGME-UHFFFAOYSA-N,O=C(OC)C=C,-0.22
38,BBEAQIROQSPTKN-UHFFFAOYSA-N,c12c3c4ccc1cccc2ccc3ccc4,-6.172998
39,BBXXLROWFHWFQY-UHFFFAOYSA-N,O=c1c(CCCC)c(C)nc(NCC)[nH]1,-3.02497
40,BCCOBQSFUDVTJQ-UHFFFAOYSA-N,FC1(F)C(F)(F)C(F)(F)C1(F)F,-3.92
41,BCMCBBGGLRIHSE-UHFFFAOYSA-N,o1c2c(nc1)cccc2,-1.16
42,BDERNNFJNOPAEC-UHFFFAOYSA-N,OCCC,0.62
43,BFCFYVKQTRLZHA-UHFFFAOYSA-N,Clc1c([N+](=O)[O-])cccc1,-2.55
44,BFPYWIDHMRZLRN-UHFFFAOYSA-N,Oc1cc2c(cc1)C1C(C3C(C)(C(O)(C#C)CC3)CC1)CC2,-4.3
45,BGHCVCJVXZWKCC-UHFFFAOYSA-N,C(CCCCCCC)CCCCCC,-7.959992
46,BGNCCUHEGHNNAP-UHFFFAOYSA-N,S(=O)(=O)(N)c1sc2S(=O)(=O)CCC(=O)c2c1,-3.018
47,BKIMMITUMNQMOS-UHFFFAOYSA-N,C(CCCC)CCCC,-5.88
48,BMLIZLVNXIYGCK-UHFFFAOYSA-N,Clc1ccc(NC(=O)N(C)C)cc1,-2.91256
49,BNUHAJGCKIQFGE-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(OC)cc1,-2.41
50,BOCJQSFSGAZAPQ-UHFFFAOYSA-N,Clc1c2C(=O)c3c(C(=O)c2ccc1)cccc3,-5.54
51,BOJWTAQWPVBIPG-UHFFFAOYSA-N,Fc1c([N+](=O)[O-])cc(C(=O)O)cc1,-1.579
52,BRBKOPJOKNSWSG-UHFFFAOYSA-N,S(=O)(=O)(N=C(N)N)c1ccc(N)cc1,-1.98497
53,BRLQWZUYTZBJKN-UHFFFAOYSA-N,ClCC1OC1,-0.15
54,BRPOVUNVTUCYNN-UHFFFAOYSA-N,Fc1c(N2C(CC)C(N)C2)cc2n(C3CC3)cc(C(=O)O)c(=O)c2c1,-3.912
55,BRUZQRBVNRKLJG-UHFFFAOYSA-N,O=C(OCC(C)C)N,-0.3
56,BTANRVKWQNVYAZ-UHFFFAOYSA-N,OC(CC)C,0.43
57,BTJIUGUIPKRLHP-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(O)cc1,-0.74
58,BUNFNRVLMKHKIT-UHFFFAOYSA-N,O=[N+]([O-])c1c(NC(=O)C)cccc1,-1.91
59,BWXSXZAIQQSFPW-UHFFFAOYSA-N,O=[N+]([O-])c1cc2C(=O)OC(CC)(CC)c2cc1,-3.656
60,BXNJHAXVSOCGBA-UHFFFAOYSA-N,O(C)c1cc2[nH]c3c(C)nccc3c2cc1,-4.48
61,BXWNKGSJHAJOGX-UHFFFAOYSA-N,OCCCCCCCCCCCCCCCC,-7.260001
62,BYEVBITUADOIGY-UHFFFAOYSA-N,O=C(OCC)CCCCCCCC,-3.8
63,BZHMBWZPUJHVEE-UHFFFAOYSA-N,C(CC(C)C)(C)C,-4.26
64,BZKPWHYZMXOIDC-UHFFFAOYSA-N,S(=O)(=O)(N)c1sc(NC(=O)C)nn1,-2.43058
65,BZLVMXJERCGZMT-UHFFFAOYSA-N,O(C(C)(C)C)C,-0.24
66,BZTYNSQSZHARAZ-UHFFFAOYSA-N,Clc1c(c2ccc(Cl)cc2)ccc(Cl)c1,-6.21
67,CAQHPYSDQFDJAL-UHFFFAOYSA-N,O=C1C(=NO)c2c(cccc2)C=C1,-2.937
68,CBFCDTFDPHXCNY-UHFFFAOYSA-N,C(CCCCCCCCCC)CCCCCCCCC,-8.169989
69,CCGPUGMWYLICGL-UHFFFAOYSA-N,Clc1c(Cl)ccc(NC(=O)N(CCCC)C)c1,-4.77
70,CDAWCLOXVUBKRW-UHFFFAOYSA-N,Oc1c(N)cccc1,-0.72
71,CDOZDBSBBXSXLB-UHFFFAOYSA-N,N(C(CN1c2c(Sc3c1cccc3)cccc2)C)(CC)CC,-2.145
72,CDVNZMKTJIBBBV-UHFFFAOYSA-N,O=[N+]([O-])c1c(C)c(C(=O)O)cc([N+](=O)[O-])c1,-2.6
73,CEOCDNVZRAIOQZ-UHFFFAOYSA-N,Clc1c(Cl)c(Cl)cc(Cl)c1Cl,-5.654971
74,CERQOIWHTDAKMF-UHFFFAOYSA-N,O=C(O)C(=C)C,0.01
75,CFBYEGUGFPZCNF-UHFFFAOYSA-N,O=[N+]([O-])c1c(OC)cccc1,-1.96
76,CGBCCZZJVKUAMX-UHFFFAOYSA-N,ClC1=CC2C(C3(C1=CC(=O)C=C3)C)CCC1(C2CCC1(OC(=O)C)C(=O)C)C,-4.95
77,CHMBIJAOCISYEW-UHFFFAOYSA-N,O=C(Nc1ccc(N)cc1)C,-0.98
78,CHNUNORXWHYHNE-UHFFFAOYSA-N,Clc1c(OC(C)C)cc(n2c(=O)oc(C(C)(C)C)n2)c(Cl)c1,-5.69
79,CHNXZKVNWQUJIB-UHFFFAOYSA-N,O=C1C=C2C(C)(C3C(C4C(C)(C(O)(C#C)CC4)CC3)CC2)CC1,-5.66
80,CHVJITGCYZJHLR-UHFFFAOYSA-N,C1=CC=CCC=C1,-2.15
81,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,O=C1C(=C(O)[C@@H]([C@@H](O)CO)O1)O,0.239374
82,CIWBSHSKHKDKBQ-UHFFFAOYSA-N,O=C1C(=C(O)C(C(O)CO)O1)O,-0.805
83,CJHXCRMKMMBYJQ-UHFFFAOYSA-N,Oc1c(CCCC)c(C)nc(N(C)C)n1,-2.24
84,CKRZKMFTZCFYGB-UHFFFAOYSA-N,ONc1ccccc1,-0.74
85,CMSMOCZEIVJLDB-UHFFFAOYSA-N,ClCCN(CCCl)P1(=O)OCCCN1,-0.815
86,CMVQZRLQEOAYSW-UHFFFAOYSA-N,Clc1c(Cl)cccc1[N+](=O)[O-],-3.48
87,CNGDZXAWOIPFFX-UHFFFAOYSA-N,S(=O)(=O)(N)c1scc(C(=O)c2ccc(OC)cc2)c1,-4.473
88,COLNVLDHVKWLRT-UHFFFAOYSA-N,O=C(O)C(N)Cc1ccccc1,-0.74473
89,CPGPAVAKSZHMBP-UHFFFAOYSA-N,Cc1c2c(cc3c1cccc3)cccc2,-5.89
90,CPNGPNLZQNNVQM-UHFFFAOYSA-N,n1c2nccnc2cnc1,0.02
91,CQRYARSYNCAZFO-UHFFFAOYSA-N,OCc1c(O)cccc1,-0.29
92,CSHWQDPOILHKBI-UHFFFAOYSA-N,c12c3c4c5c(c1cccc2ccc3)cccc5ccc4,-8.794931
93,CTJMNBROBOZHAP-UHFFFAOYSA-N,Fc1c(N2CC(N)C2)cc2n(C3CC3)cc(C(=O)O)c(=O)c2c1,-5.324
94,CULUWZNBISUWAS-UHFFFAOYSA-N,O=[N+]([O-])c1n(CC(=O)NCc2ccccc2)ccn1,-2.81
95,CVQODEWAPZVVBU-UHFFFAOYSA-N,O=C(Oc1cc(C)cc(C)c1)NC,-2.58
96,CVRALZAYCYJELZ-UHFFFAOYSA-N,Brc1c(Cl)cc(OP(=S)(OC)c2ccccc2)c(Cl)c1,-5.66
97,CVUGPAFCQJIYDT-UHFFFAOYSA-N,ClC(Cl)(Cl)C(c1c(Cl)cccc1)c1ccc(Cl)cc1,-6.62
98,CWJSHJJYOPWUGX-UHFFFAOYSA-N,Clc1cc(NC(=O)OC(C)C)ccc1,-3.38497
99,CWRYPZZKDGJXCA-UHFFFAOYSA-N,c12c3cccc1CCc2ccc3,-4.54
100,CXOFVDLJLONNDW-UHFFFAOYSA-N,O=C1C(c2ccccc2)(c2ccccc2)NC(=O)N1,-4.10651
101,CXWXQJXEFPUFDZ-UHFFFAOYSA-N,c12c(cccc1)CCCC2,-4.37
102,CYFLXLSBHQBMFT-UHFFFAOYSA-N,S(=O)(=O)(Nc1oc(C)c(C)n1)c1ccc(N)cc1,-2.44
103,CZGCEKJOLUNIFY-UHFFFAOYSA-N,Clc1ccc([N+](=O)[O-])cc1,-2.92
104,CZIHNRWJTSTCEX-UHFFFAOYSA-N,O=C(Nc1cc2c(c3c(cccc3)C2)cc1)C,-4.235
105,CZMRCDWAGMRECN-UGDNZRGBSA-N,O([C@@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)[C@@]1(CO)[C@@H](O)[C@H](O)[C@@H](CO)O1,0.79
106,CZPWVGJYEJSRLH-UHFFFAOYSA-N,n1cnccc1,1.1
107,DBABZHXKTCFAPX-UHFFFAOYSA-N,S(=O)(=O)(N(CCC)CCC)c1ccc(C(=O)O)cc1,-4.021
108,DBPWSSGDRRHUNT-UHFFFAOYSA-N,O=C(C)C1(O)C2(C)C(C3C(C4(C)C(=CC(=O)CC4)CC3)CC2)CC1,-4.71
109,DCAYPVUWAIABOU-UHFFFAOYSA-N,C(CCCCCCCC)CCCCCCC,-8.400008
110,DCUJJWWUNKIJPH-UHFFFAOYSA-N,ClC(Cl)(Cl)c1nc(Cl)ccc1,-3.76
111,DDUHZTYCFQRHIY-UHFFFAOYSA-N,Clc1c(OC)cc(OC)c2C(=O)C3(C(=CC(=O)CC3C)OC)Oc12,-4.65446
112,DEKWZWCFHUABHE-UHFFFAOYSA-N,Clc1ccc(C(CC(=O)C)c2c(=O)oc3c(c2O)cccc3)cc1,-5.84
113,DEWLEGDTCGBNGU-UHFFFAOYSA-N,ClCC(O)CCl,-0.11
114,DFBKLUNHFCTMDC-PICURKEMSA-N,ClC1(Cl)[C@]2(Cl)C(=C(Cl)[C@@]1(Cl)[C@@H]1[C@H]2[C@H]2[C@@H]3O[C@@H]3[C@@H]1C2)Cl,-6.29
115,DFCAFRGABIXSDS-UHFFFAOYSA-N,S(C(=O)N(CC)C1CCCCC1)CC,-3.4
116,DFOXKPDFWGNLJU-UHFFFAOYSA-N,OC(C(C)(C)C)C,-0.62
117,DFPAKSUCGFBDDF-UHFFFAOYSA-N,O=C(N)c1cnccc1,0.61
118,DFXQXFGFOLXAPO-UHFFFAOYSA-N,Clc1c([N+](=O)[O-])cc(C(=O)O)cc1,-2.66815
119,DHKHKXVYLBGOIT-UHFFFAOYSA-N,O(C(OCC)C)CC,-0.43
120,DHMQDGOQFOQNFH-UHFFFAOYSA-N,O=C(O)CN,0.521792
121,DHXVGJBLRPWPCS-UHFFFAOYSA-N,O1CCCCC1,-0.03
122,DJHHDLMTUOLVHY-UHFFFAOYSA-N,Clc1c(Cl)c(Cl)c2Oc3c(Oc2c1Cl)cccc3,-8.770062
123,DJPZSBANTAQNFN-UHFFFAOYSA-N,O=C(OC1C2(C)C(C3C(C4(C)C(=CC(=O)CC4)CC3)CC2)CC1)C,-5.18
124,DKMROQRQHGEIOW-UHFFFAOYSA-N,O=C(OCC)CCC(=O)OCC,-0.959
125,DLFVBJFMPXGRIB-UHFFFAOYSA-N,O=C(N)C,1.58
126,DLKQHBOKULLWDQ-UHFFFAOYSA-N,Brc1c2c(ccc1)cccc2,-4.35
127,DLVAUVPZQHGFJC-UHFFFAOYSA-N,O=C(N(CC(=O)N)C)COC(=O)c1ccccc1,-0.918
128,DMDGGSIALPNSEE-UHFFFAOYSA-N,S(=O)(=O)(N)c1c(C(F)(F)F)cc2NCNS(=O)(=O)c2c1,-3.02
129,DMEGYFMYUHOHGS-UHFFFAOYSA-N,C1CCCCCC1,-3.52
130,DNJIEGIFACGWOD-UHFFFAOYSA-N,SCC,-0.6
131,DOFZAZXDOSGAJZ-UHFFFAOYSA-N,S=P(SCCSCC)(OCC)OCC,-4.23
132,DOIRQSBPFJWKBE-UHFFFAOYSA-N,O=C(OCCCC)c1c(C(=O)OCCCC)cccc1,-4.33587
133,DOWJXOHBNXRUOD-UHFFFAOYSA-N,Cc1c2c(c3c(cc2)cccc3)ccc1,-5.85
134,DPJCXCZTLWNFOH-UHFFFAOYSA-N,O=[N+]([O-])c1c(N)cccc1,-1.96
135,DPSPPJIUMHPXMA-UHFFFAOYSA-N,Fc1cc2c(=O)c(C(=O)O)cn3C(C)CCc(c23)c1,-3.7326
136,DQJCHOQLCLEDLL-UHFFFAOYSA-N,Cc1c2n3c(sc2ccc1)nnc3,-2.07
137,DQWPFSLDHJDLRL-UHFFFAOYSA-N,P(=O)(OCC)(OCC)OCC,0.43
138,DQZCVNGCTZLGAQ-UHFFFAOYSA-N,O=C(N(C)C)NC1CCCCCCC1,-2.36
139,DRLFMBDRBRZALE-UHFFFAOYSA-N,O=C(NCCc1c2c([nH]c1)ccc(OC)c2)C,-5.094
140,DRUIESSIVFYOMK-UHFFFAOYSA-N,ClC(Cl)(Cl)C#N,-2.17
141,DSBMOVYUOIIPDK-UHFFFAOYSA-N,O=C1N(Cc2ccccc2)C(=O)NC1(C)C,-1.795
142,DSKJPMWIHSOYEA-UHFFFAOYSA-N,S(=O)(=O)(Oc1c(CCCC)c(C)nc(NCC)n1)N(C)C,-4.16
143,DSRNRYQBBJQVCW-UHFFFAOYSA-N,Clc1c(OC)ccc(NC(=O)N(C)C)c1,-2.56
144,DSSYKIVIOFKYAU-UHFFFAOYSA-N,O=C1C2(C)C(C)(C)C(C1)CC2,-1.95466
145,DTGKSKDOIYIVQL-UHFFFAOYSA-N,OC1C2(C)C(C)(C)C(C1)CC2,-2.32
146,DTMRKGRREZAYAP-UHFFFAOYSA-N,Clc1c(Cl)c(Cl)cc(c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1,-9.159894
147,DVQVBLBKEXITIK-UHFFFAOYSA-N,S(=O)(=O)(Nc1sc(C(C)(C)C)nn1)c1ccc(N)cc1,-3.74
148,DVVGIUUJYPYENY-UHFFFAOYSA-N,O=c1n(C)cccc1,0.96
149,DWEPFAMAQPVFBH-UHFFFAOYSA-N,S(=O)(=O)(N)c1sc2S(=O)CCC(O)c2c1,-1.348
150,DXXVCXKMSWHGTF-UHFFFAOYSA-N,Clc1c(Oc2cc(OC)c([N+](=O)[O-])cc2)ccc(Cl)c1,-5.906
151,DYDNPESBYVVLBO-UHFFFAOYSA-N,O=CNc1ccccc1,-0.68
152,DZMDPHNGKBEVRE-UHFFFAOYSA-N,ClCCCCCCC,-3.99
153,DZQVFHSCSRACSX-UHFFFAOYSA-N,S(=O)(=O)(Nc1ncc(C)cn1)c1ccc(N)cc1,-2.82
154,DZTHIGRZJZPRDV-UHFFFAOYSA-N,O=C(O)C(NC(=O)C)Cc1c2c([nH]c1)cccc2,-2.31
155,DZZWHBIBMUVIIW-DTORHVGOSA-N,Fc1c(N2C[C@@H](C)N[C@@H](C)C2)c(F)c2n(C3CC3)cc(C(=O)O)c(=O)c2c1N,-3.3711
156,FBPFZTCFMRRESA-UHFFFAOYSA-N,OC(C(O)C(O)CO)C(O)CO,1.09
157,FCYQIDFMSYIAEB-UHFFFAOYSA-N,O(COc1c2OC3C(O)CCC4C53c2c(cc1)CC4N(C)CC5)C,-1.959
158,FDDDEECHVMSUSB-UHFFFAOYSA-N,S(=O)(=O)(N)c1ccc(N)cc1,-1.38663
159,FDPIMTJIUBPUKL-UHFFFAOYSA-N,O=C(CC)CC,-0.28
160,FEFQUIPMKBPKAR-UHFFFAOYSA-N,O=C(N1C(=O)CCCCC1)c1ccccc1,-2.167
161,FEMZVDSBIXDODB-UHFFFAOYSA-N,Fc1c(N2CC(N)(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,-5.639
162,FERIUCNNQQJTOY-UHFFFAOYSA-N,O=C(O)CCC,-0.19
163,FFEARJCKVFRZRR-UHFFFAOYSA-N,S(CCC(N)C(=O)O)C,-0.42
164,FFGPTBGBLSHEPO-UHFFFAOYSA-N,O=C(N)N1c2c(cccc2)C=Cc2c1cccc2,-3.07931
165,FGLBSLMDCBOPQK-UHFFFAOYSA-N,O=[N+]([O-])C(C)C,-0.62
166,FHADSMKORVFYOS-UHFFFAOYSA-N,OC1CCCCCCC1,-1.29
167,FLVIGYVXZHLUHP-UHFFFAOYSA-N,S=C(NCC)NCC,-1.46
168,FMGSKLZLMKYGDP-USOAJAOKSA-N,O=C1[C@]2(C)[C@H]([C@H]3[C@@H]([C@]4(C)C(=CC3)C[C@@H](O)CC4)CC2)CC1,-4.06153
169,FMINYZXVCTYSNY-UHFFFAOYSA-N,O=C(N(C)c1ccccc1)NC(C)(C)c1ccccc1,-3.35
170,FMKMKBLHMONXJM-UHFFFAOYSA-N,Nc1n(c2ccccc2)nc(C)c1,-0.938
171,FNFPHNZQOKBKHN-UHFFFAOYSA-N,O=C(OCC(=O)C1(O)C2(C)C(C3C(C4(C)C(=CC(=O)CC4)CC3)C(O)C2)CC1)CC(C)(C)C,-5.51
172,FNROXVCRPXYLRT-UHFFFAOYSA-N,O=C(N(C)C)CCCOC(=O)c1ccccc1,-1.229
173,FOANIXZHAMJWOI-UHFFFAOYSA-N,Brc1ccc(C(O)(C(=O)OC(C)C)c2ccc(Br)cc2)cc1,-4.93
174,FOCAUTSVDIKZOP-UHFFFAOYSA-N,ClCC(=O)O,0.944261
175,FOIBFBMSLDGNHL-UHFFFAOYSA-N,Clc1c(Cl)c(Cl)c2Oc3c(Cl)c(Cl)c(Cl)c(Cl)c3Oc2c1Cl,-12.790485
176,FPQJEXTVQZHURJ-UHFFFAOYSA-N,O=C(NCCO)C(=O)NCCO,-0.112
177,FRDAATYAJDYRNW-UHFFFAOYSA-N,OC(CC)(CC)C,-0.38
178,FRQUNVLMWIYOLV-UHFFFAOYSA-N,Clc1c(Cl)c(OC)ccc1Cl,-4.29
179,FSCWZHGZWWDELK-UHFFFAOYSA-N,Clc1cc(Cl)cc(N2C(=O)C(C=C)(C)OC2=O)c1,-4.93
180,FSERHDPEOFYMMK-UHFFFAOYSA-N,Brc1cc2c(CN(C)C)c[nH]c2cc1,-4.0552
181,FSVJFNAIGNNGKK-UHFFFAOYSA-N,O=C(N1CC(=O)N2C(c3c(cccc3)CC2)C1)C1CCCCC1,-3.193
182,FTOVXSOBNPWTSH-UHFFFAOYSA-N,c12c3c4c(cc1c1c(c2ccc3)cccc1)cccc4,-8.230032
183,FUKCEEDRHGCYHH-UHFFFAOYSA-N,O=C(NCCCC)COC(=O)c1ccccc1,-2.759
184,FULZLIGZKMKICU-UHFFFAOYSA-N,S=C(Nc1ccccc1)N,-1.77
185,FUUHMSUPRUNWRQ-UHFFFAOYSA-N,Clc1c(Cl)c(Cl)cc(OC)c1Cl,-5.26
186,FVSKHRXBFJPNKK-UHFFFAOYSA-N,N#CCC,0.28
187,FXHOOIRPVKKKFG-UHFFFAOYSA-N,O=C(N(C)C)C,1.11
188,FZBXGZBXWFNCQY-UHFFFAOYSA-N,O=C(COC(=O)c1ccccc1)N1CCCCCC1,-2.542
189,FZSVSABTBYGOQH-UHFFFAOYSA-N,S(CC(=NOC(=O)NC)C(C)(C)C)C,-1.62
190,GABQNAFEZZDSCM-UHFFFAOYSA-N,O=C(OCC=Cc1ccccc1)c1c(N)cccc1,-6.042
191,GBDZXPJXOMHESU-UHFFFAOYSA-N,Clc1c(Cl)c(Cl)ccc1Cl,-4.63015
192,GBROPGWFBFCKAG-UHFFFAOYSA-N,c12c3c(c4c(cc3)cccc4)ccc1c1c(cc2)cccc1,-7.869988
193,GCKMFJBGXUYNAG-HLXURNFRSA-N,O=C1C=C2[C@@](C)([C@@H]3[C@H]([C@H]4[C@@](C)([C@](O)(C)CC4)CC3)CC2)CC1,-3.97988
194,GCNTZFIIOFTKIY-UHFFFAOYSA-N,Oc1ccncc1,1.02
195,GCQZFVAHUZIDRP-UHFFFAOYSA-N,S(=O)(=O)(Nc1ccc(S(=O)(=O)N)cc1)c1ccc(N)cc1,-2.759
196,GECHUMIMRBOMGK-UHFFFAOYSA-N,S(=O)(=O)(Nc1ncccc1)c1ccc(N)cc1,-2.81913
197,GEDIWDLJKRKBFT-UHFFFAOYSA-N,O=C(Oc1n(c2ccccc2)nc(C)c1)N(C)C,-2.09
198,GETQZCLCWQTVFV-UHFFFAOYSA-N,N(C)(C)C,0.84
199,GEYOCULIXLDCMW-UHFFFAOYSA-N,Nc1c(N)cccc1,-0.42
200,GFBKOADVXIDVBA-UHFFFAOYSA-N,S(=O)(=O)(NC(=O)OCCCC)N,-1.038
201,GGLIEWRLXDLBBF-UHFFFAOYSA-N,O=C(Nc1ccc(OCC)cc1)N,-2.17
202,GILNGPKTMRSQDW-UHFFFAOYSA-N,O=C(COC(=O)c1ccccc1)N1CCCC1,-1.568
203,GIUGGRUEPHPVNR-UHFFFAOYSA-N,Clc1cc2Oc3c(Oc2cc1)cccc3,-5.87
204,GKEUODMJRFDLJY-UHFFFAOYSA-N,Cc1c2c(c3c(cccc3)C2)ccc1,-5.22
205,GKRZNOGGALENQJ-UHFFFAOYSA-N,O=C(NC(=O)C)N,-0.9
206,GLDOVTGHNKAZLK-UHFFFAOYSA-N,OCCCCCCCCCCCCCCCCCC,-8.400008
207,GLUUGHFHXGJENI-UHFFFAOYSA-N,N1CCNCC1,1.07
208,GMVJKSNPLYBFSO-UHFFFAOYSA-N,Brc1c(Br)cccc1Br,-5.054741
209,GNHMRTZZNHZDDM-UHFFFAOYSA-N,ClCCC#N,-0.29
210,GOHBXWHNJHENRX-UHFFFAOYSA-N,Cc1c2c(c3c(c1)cccc3)ccc1c2cccc1,-6.589999
211,GPTONYMQFTZPKC-UHFFFAOYSA-N,S(=O)(=O)(Nc1ncc(OC)cn1)c1ccc(N)cc1,-2.58
212,GRFNBEZIAWKNCO-UHFFFAOYSA-N,Oc1cnccc1,-0.46
213,GRWAIJBHBCCLGS-UHFFFAOYSA-N,O=C(O)Cn1nnnc1,0.083568
214,GSDSWSVVBLHKDQ-UHFFFAOYSA-N,Fc1c(N2CCN(C)CC2)c2OCC(C)n3c2c(c(=O)c(C(=O)O)c3)c1,-1.2655
215,GTCAXTIRRLKXRU-UHFFFAOYSA-N,O=C(OC)N,0.97
216,GUGOEEXESWIERI-UHFFFAOYSA-N,OC(c1ccccc1)(c1ccccc1)C1CCN(CCCC(O)c2ccc(C(C)(C)C)cc2)CC1,-4.871
217,GVEPBJHOBDJJJI-UHFFFAOYSA-N,c12c3cccc1c1c(c2ccc3)cccc1,-5.945064
218,GWDYJKXSUSPLEA-UHFFFAOYSA-N,O=c1nc(c2ccccc2)oc2c1cccc2,-4.61
219,GWOFUCIGLDBNKM-UHFFFAOYSA-N,Clc1cc2nccc(Nc3c(C(=O)OCC(O)CO)cccc3)c2cc1,-4.55319
220,GWUSZQUVEVMBPI-UHFFFAOYSA-N,O=[N+]([O-])c1cc2C(=NCC(=O)N(C)c2cc1)c1ccccc1,-3.8
221,GXEKYRXVRROBEV-UHFFFAOYSA-N,O=C(O)C1C(C(=O)O)C2OC1CC2,-0.27
222,GYFAGKUZYNFMBN-UHFFFAOYSA-N,c12c3c4c5c6c1c(ccc2ccc3ccc4ccc5)ccc6,-9.030118
